python,kind,identity,tier,occurrences,contexts,resolution_status,available,object_type,signature,signature_quality,plan_taxonomy,official_source_evidence
3.10.19,module_api,ttnn,public,97,"{""import"":80,""value"":17}",module_symbol_available,true,module,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.BufferType.DRAM,public,21,"{""value"":21}",module_symbol_available,true,BufferType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.BufferType.L1,public,2,"{""value"":2}",module_symbol_available,true,BufferType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.ConcatMesh2dToTensor,public,1,"{""call"":1}",module_symbol_available,true,function,"(mesh_device: ttnn._ttnn.multi_device.MeshDevice, mesh_shape: Tuple[int, int], dims: Tuple[int, int])",informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.ConcatMeshToTensor,public,1,"{""call"":1}",module_symbol_available,true,function,"(mesh_device: ttnn._ttnn.multi_device.MeshDevice, dim: int)",informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.CoreCoord,public,66,"{""annotation"":6,""call"":60}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.CoreGrid,public,27,"{""annotation"":10,""call"":17}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.CoreRange,public,27,"{""annotation"":1,""call"":26}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.CoreRangeSet,public,31,"{""annotation"":5,""call"":26}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.CppTensorToMesh,public,1,"{""annotation"":1}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.DRAM_MEMORY_CONFIG,public,237,"{""value"":237}",module_symbol_available,true,MemoryConfig,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.DataType,public,155,"{""annotation"":155}",module_symbol_available,true,EnumMeta,"(value, names=None, *, module=None, qualname=None, type=None, start=1)",informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.DeviceComputeKernelConfig,public,43,"{""annotation"":43}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.L1_HEIGHT_SHARDED_MEMORY_CONFIG,public,2,"{""value"":2}",module_symbol_available,true,MemoryConfig,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.L1_MEMORY_CONFIG,public,12,"{""value"":12}",module_symbol_available,true,MemoryConfig,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.L1_WIDTH_SHARDED_MEMORY_CONFIG,public,9,"{""value"":9}",module_symbol_available,true,MemoryConfig,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.LayerNormShardedMultiCoreProgramConfig,public,7,"{""annotation"":3,""call"":3,""value"":1}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.Layout,public,3,"{""annotation"":3}",module_symbol_available,true,EnumMeta,"(value, names=None, *, module=None, qualname=None, type=None, start=1)",informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.MathFidelity.HiFi2,public,28,"{""value"":28}",module_symbol_available,true,MathFidelity,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.MathFidelity.HiFi4,public,19,"{""value"":19}",module_symbol_available,true,MathFidelity,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.MathFidelity.LoFi,public,12,"{""value"":12}",module_symbol_available,true,MathFidelity,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.MatmulMultiCoreReuseMultiCast1DProgramConfig,public,2,"{""call"":2}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.MatmulMultiCoreReuseMultiCastDRAMShardedProgramConfig,public,9,"{""annotation"":5,""call"":3,""value"":1}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.MatmulMultiCoreReuseMultiCastProgramConfig,public,13,"{""annotation"":10,""call"":3}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
