python,kind,identity,tier,occurrences,contexts,resolution_status,available,object_type,signature,signature_quality,plan_taxonomy,official_source_evidence
3.10.19,module_api,ttnn.MemoryConfig,public,168,"{""annotation"":147,""call"":21}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.MeshDevice,public,92,"{""annotation"":92}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.MeshMapperConfig,public,36,"{""annotation"":3,""call"":33}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.MeshShape,public,37,"{""call"":37}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.MinimalMatmulConfig,public,3,"{""call"":3}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.PlacementReplicate,public,10,"{""call"":10}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.PlacementShard,public,31,"{""call"":31}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.ROW_MAJOR_LAYOUT,public,63,"{""value"":63}",module_symbol_available,true,Layout,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.ReplicateTensorToMesh,public,22,"{""call"":22}",module_symbol_available,true,function,(mesh_device: ttnn._ttnn.multi_device.MeshDevice),informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.SDPAProgramConfig,public,12,"{""annotation"":4,""call"":8}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.Shape,public,1,"{""call"":1}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.ShardOrientation.ROW_MAJOR,public,63,"{""value"":63}",module_symbol_available,true,ShardOrientation,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.ShardSpec,public,21,"{""call"":21}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.ShardStrategy.HEIGHT,public,8,"{""value"":8}",module_symbol_available,true,ShardStrategy,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.ShardStrategy.WIDTH,public,36,"{""value"":36}",module_symbol_available,true,ShardStrategy,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.ShardTensor2dMesh,public,25,"{""call"":25}",module_symbol_available,true,function,"(mesh_device: ttnn._ttnn.multi_device.MeshDevice, mesh_shape: Tuple[int, int], dims: Tuple[Optional[int], Optional[int]])",informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.StorageType.HOST,public,4,"{""value"":4}",module_symbol_available,true,StorageType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.TILE_LAYOUT,public,143,"{""value"":143}",module_symbol_available,true,Layout,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.TILE_SIZE,public,54,"{""value"":54}",module_symbol_available,true,int,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.Tensor,public,902,"{""annotation"":875,""value"":27}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.TensorMemoryLayout.WIDTH_SHARDED,public,24,"{""value"":24}",module_symbol_available,true,TensorMemoryLayout,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.Topology,public,8,"{""annotation"":8}",module_symbol_available,true,EnumMeta,"(value, names=None, *, module=None, qualname=None, type=None, start=1)",informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.Topology.Linear,public,14,"{""value"":14}",module_symbol_available,true,Topology,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.Topology.Ring,public,11,"{""value"":11}",module_symbol_available,true,Topology,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.UnaryOpType,public,2,"{""annotation"":2}",module_symbol_available,true,EnumMeta,"(value, names=None, *, module=None, qualname=None, type=None, start=1)",informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.UnaryOpType.SILU,public,3,"{""value"":3}",module_symbol_available,true,UnaryOpType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.WormholeComputeKernelConfig,public,83,"{""annotation"":53,""call"":28,""value"":2}",module_symbol_available,true,nb_type,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn._ttnn.tensor.dump_tensor_flatbuffer,private,1,"{""call"":1}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.abs,public,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.add,public,65,"{""call"":65}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.all_gather,public,3,"{""call"":3}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.argmax,public,2,"{""call"":2}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.as_tensor,public,8,"{""call"":8}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.begin_trace_capture,public,2,"{""call"":2}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.bfloat16,public,229,"{""value"":229}",module_symbol_available,true,DataType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.bfloat4_b,public,11,"{""value"":11}",module_symbol_available,true,DataType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.bfloat8_b,public,147,"{""value"":147}",module_symbol_available,true,DataType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.close_mesh_device,public,1,"{""call"":1}",module_symbol_available,true,function,(mesh_device),informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.cluster.ClusterType.BLACKHOLE_GALAXY,public,2,"{""value"":2}",module_symbol_available,true,ClusterType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.cluster.ClusterType.GALAXY,public,2,"{""value"":2}",module_symbol_available,true,ClusterType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.cluster.ClusterType.P150_X2,public,1,"{""value"":1}",module_symbol_available,true,ClusterType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.cluster.ClusterType.P150_X4,public,4,"{""value"":4}",module_symbol_available,true,ClusterType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.cluster.ClusterType.P150_X8,public,1,"{""value"":1}",module_symbol_available,true,ClusterType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.cluster.ClusterType.P300_X2,public,3,"{""value"":3}",module_symbol_available,true,ClusterType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.cluster.ClusterType.T3K,public,8,"{""value"":8}",module_symbol_available,true,ClusterType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.cluster.ClusterType.TG,public,2,"{""value"":2}",module_symbol_available,true,ClusterType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.cluster.get_cluster_type,public,8,"{""call"":8}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.concat,public,9,"{""call"":9}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.copy,public,3,"{""call"":3}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.copy_host_to_device_tensor,public,11,"{""call"":11}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.create_global_semaphore,public,3,"{""call"":3}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.create_mesh_mapper,public,1,"{""call"":1}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.create_sharded_memory_config,public,44,"{""call"":44}",module_symbol_available,true,function,"(shape: Union[ttnn._ttnn.types.Shape, Tuple[int, ...], List[int]], core_grid: Union[ttnn._ttnn.types.CoreGrid, ttnn._ttnn.tensor.CoreRangeSet], strategy: ttnn.types.ShardStrategy, orientation: Optional[ttnn._ttnn.tensor.ShardOrientation] = None, use_height_and_width_as_shard_shape: bool = False) -> ttnn._ttnn.tensor.MemoryConfig",informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.deallocate,public,208,"{""call"":208}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.device.Arch.BLACKHOLE,public,13,"{""value"":13}",module_symbol_available,true,Arch,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.device.Arch.WORMHOLE_B0,public,18,"{""value"":18}",module_symbol_available,true,Arch,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.device.is_blackhole,public,3,"{""call"":3}",module_symbol_available,true,function,(device=None),informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.device.is_wormhole_b0,public,2,"{""call"":2}",module_symbol_available,true,function,(device=None),informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.div,public,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.embedding,public,52,"{""call"":52}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.end_trace_capture,public,2,"{""call"":2}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.eq,public,2,"{""call"":2}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.eq_,public,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.execute_trace,public,2,"{""call"":2}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.exp,public,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.all_gather_async,experimental,32,"{""call"":32}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.all_gather_matmul_async,experimental,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.minimal_matmul,experimental,3,"{""call"":3}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.nlp_concat_heads,experimental,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.nlp_concat_heads_decode,experimental,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.nlp_create_qkv_heads,experimental,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.nlp_create_qkv_heads_decode,experimental,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.paged_fill_cache,experimental,6,"{""call"":6}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.paged_fused_update_cache,experimental,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.paged_update_cache,experimental,2,"{""call"":2}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.reduce_scatter_minimal_async,experimental,6,"{""call"":6}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.rotary_embedding_llama,experimental,4,"{""call"":4}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.experimental.rotary_embedding_llama_fused_qk,experimental,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.fill_cache,public,4,"{""call"":4}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.float32,public,2,"{""value"":2}",module_symbol_available,true,DataType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.from_torch,public,70,"{""call"":70}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.gather,public,2,"{""call"":2}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.get_arch_name,public,3,"{""call"":3}",module_symbol_available,true,function,(),informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.get_device_tensors,public,8,"{""call"":8}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.gt,public,4,"{""call"":4}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.init_device_compute_kernel_config,public,25,"{""call"":25}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.int32,public,30,"{""value"":30}",module_symbol_available,true,DataType,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.interleaved_to_sharded,public,30,"{""call"":30}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.linear,public,18,"{""call"":18}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.load_tensor,public,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.log,public,2,"{""call"":2}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.lt,public,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.manual_seed,public,2,"{""call"":2}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.matmul,public,11,"{""call"":11}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.max,public,3,"{""call"":3}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.min,public,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.mul,public,10,"{""call"":10}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.multiply,public,13,"{""call"":13}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.num_cores_to_corerangeset,public,2,"{""call"":2}",module_symbol_available,true,function,"(target_num_cores: int, grid_size: ttnn._ttnn.tensor.CoreCoord, row_wise: bool = False)",informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.num_cores_to_corerangeset_in_subcoregrids,public,2,"{""call"":2}",module_symbol_available,true,function,"(start_core: ttnn._ttnn.tensor.CoreCoord, target_num_cores: int, sub_core_grids: ttnn._ttnn.tensor.CoreRangeSet, row_wise: bool = False)",informative,none: symbol and informative signature present,
3.10.19,module_api,ttnn.pad,public,5,"{""call"":5}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.plus_one,public,24,"{""call"":24}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.release_trace,public,2,"{""call"":2}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.remainder,public,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.replicate_tensor_to_mesh_mapper,public,13,"{""call"":13}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.reshape,public,41,"{""call"":41}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.reshard,public,1,"{""call"":1}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.rms_norm,public,3,"{""call"":3}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.rms_norm_post_all_gather,public,3,"{""call"":3}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.rms_norm_pre_all_gather,public,3,"{""call"":3}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.sampling,public,2,"{""call"":2}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.scatter_add,public,2,"{""call"":2}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.sharded_to_interleaved,public,5,"{""call"":5}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.slice,public,54,"{""call"":54}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.split,public,4,"{""call"":4}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.subtract,public,9,"{""call"":9}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.sum,public,3,"{""call"":3}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.synchronize_device,public,13,"{""call"":13}",module_symbol_available,true,nb_func,,not_inspectable,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.tilize,public,2,"{""call"":2}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
3.10.19,module_api,ttnn.to_device,public,3,"{""call"":3}",module_symbol_available,true,FastOperation,"(*function_args, **function_kwargs)",generic_wrapper,semantic or signature difference from source environment: signature evidence incomplete,
