layer,source_path,line,scope,timing,kind,module,imported_symbol,alias,root,classification,internal_target
llm_runtime,models/common/llm_runtime/decode.py,27,<module>,module,from,models.common.modules.sampling.params,prepare_sampling_params,,models,internal_models_namespace,models.common.modules.sampling.params
llm_runtime,models/common/llm_runtime/decode.py,27,<module>,module,from,models.common.modules.sampling.params,slice_sampling_params,,models,internal_models_namespace,models.common.modules.sampling.params
llm_runtime,models/common/llm_runtime/decode.py,33,<module>,module,from,models.common.modules.sampling.seed_manager_1d,SeedManager1D,,models,internal_models_namespace,models.common.modules.sampling.seed_manager_1d
llm_runtime,models/common/llm_runtime/decode.py,34,<module>,module,from,models.common.sampling.sampling_params,SamplingParams,,models,external_models_tt_metal,
llm_runtime,models/common/llm_runtime/execution.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/execution.py,8,<module>,module,import,json,,,json,stdlib,
llm_runtime,models/common/llm_runtime/execution.py,9,<module>,module,from,collections.abc,Sequence,,collections,stdlib,
llm_runtime,models/common/llm_runtime/execution.py,10,<module>,module,from,dataclasses,asdict,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/execution.py,10,<module>,module,from,dataclasses,dataclass,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/execution.py,11,<module>,module,from,typing,Any,,typing,stdlib,
llm_runtime,models/common/llm_runtime/execution.py,13,<module>,module,import,torch,,,torch,third_party_base,
llm_runtime,models/common/llm_runtime/execution.py,14,<module>,module,from,loguru,logger,,loguru,third_party_base,
llm_runtime,models/common/llm_runtime/execution.py,16,<module>,module,from,models.common.llm_runtime.decode,DecodeRuntime,,models,internal_models_namespace,models.common.llm_runtime.decode
llm_runtime,models/common/llm_runtime/execution.py,17,<module>,module,from,models.common.llm_runtime.decode,InvocationResult,DecodeInvocationResult,models,internal_models_namespace,models.common.llm_runtime.decode
llm_runtime,models/common/llm_runtime/execution.py,18,<module>,module,from,models.common.llm_runtime.prefill.plan,PrefillRequest,,models,internal_models_namespace,models.common.llm_runtime.prefill.plan
llm_runtime,models/common/llm_runtime/execution.py,19,<module>,module,from,models.common.llm_runtime.prefill.runtime,PrefillRuntime,,models,internal_models_namespace,models.common.llm_runtime.prefill.runtime
llm_runtime,models/common/llm_runtime/execution.py,20,<module>,module,from,models.common.llm_runtime.program_compiler,CompiledProgram,,models,internal_models_namespace,models.common.llm_runtime.program_compiler
llm_runtime,models/common/llm_runtime/execution.py,20,<module>,module,from,models.common.llm_runtime.program_compiler,OutputSpec,,models,internal_models_namespace,models.common.llm_runtime.program_compiler
llm_runtime,models/common/llm_runtime/execution.py,20,<module>,module,from,models.common.llm_runtime.program_compiler,ProgramCompiler,,models,internal_models_namespace,models.common.llm_runtime.program_compiler
llm_runtime,models/common/llm_runtime/execution.py,21,<module>,module,from,models.common.llm_runtime.trace_compiler,InputRefreshPolicy,,models,internal_models_namespace,models.common.llm_runtime.trace_compiler
llm_runtime,models/common/llm_runtime/execution.py,21,<module>,module,from,models.common.llm_runtime.trace_compiler,TraceCapturePlan,,models,internal_models_namespace,models.common.llm_runtime.trace_compiler
llm_runtime,models/common/llm_runtime/execution.py,21,<module>,module,from,models.common.llm_runtime.trace_compiler,TraceCompiler,,models,internal_models_namespace,models.common.llm_runtime.trace_compiler
llm_runtime,models/common/llm_runtime/lane_group.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,8,<module>,module,import,copy,,,copy,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,9,<module>,module,import,dataclasses,,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,10,<module>,module,import,threading,,,threading,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,11,<module>,module,from,concurrent.futures,Future,,concurrent,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,11,<module>,module,from,concurrent.futures,ThreadPoolExecutor,,concurrent,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,11,<module>,module,from,concurrent.futures,wait,,concurrent,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,12,<module>,module,from,contextlib,ExitStack,,contextlib,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,13,<module>,module,from,typing,Any,,typing,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,13,<module>,module,from,typing,Callable,,typing,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,13,<module>,module,from,typing,Iterator,,typing,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,13,<module>,module,from,typing,Sequence,,typing,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,13,<module>,module,from,typing,TypedDict,,typing,stdlib,
llm_runtime,models/common/llm_runtime/lane_group.py,15,<module>,module,import,torch,,,torch,third_party_base,
llm_runtime,models/common/llm_runtime/lane_group.py,17,<module>,module,from,models.common.llm_runtime.execution,EagerExecutor,,models,internal_models_namespace,models.common.llm_runtime.execution
llm_runtime,models/common/llm_runtime/lane_group.py,17,<module>,module,from,models.common.llm_runtime.execution,TracedExecutor,,models,internal_models_namespace,models.common.llm_runtime.execution
llm_runtime,models/common/llm_runtime/output_reader.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/output_reader.py,8,<module>,module,import,itertools,,,itertools,stdlib,
llm_runtime,models/common/llm_runtime/output_reader.py,9,<module>,module,import,threading,,,threading,stdlib,
llm_runtime,models/common/llm_runtime/output_reader.py,10,<module>,module,from,dataclasses,dataclass,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/output_reader.py,10,<module>,module,from,dataclasses,field,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/output_reader.py,11,<module>,module,from,typing,Any,,typing,stdlib,
llm_runtime,models/common/llm_runtime/output_reader.py,13,<module>,module,import,torch,,,torch,third_party_base,
llm_runtime,models/common/llm_runtime/output_reader.py,15,<module>,module,import,ttnn,,,ttnn,third_party_base,
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,8,<module>,module,from,dataclasses,dataclass,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,9,<module>,module,from,pathlib,Path,,pathlib,stdlib,
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,10,<module>,module,from,typing,Any,,typing,stdlib,
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,12,<module>,module,import,torch,,,torch,third_party_base,
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,14,<module>,module,import,ttnn,,,ttnn,third_party_base,
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,15,<module>,module,from,models.common.llm_runtime.config,PagedKVCacheConfig,,models,internal_models_namespace,models.common.llm_runtime.config
llm_runtime,models/common/llm_runtime/prefill/config.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/prefill/config.py,8,<module>,module,from,dataclasses,dataclass,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/prefill/config.py,8,<module>,module,from,dataclasses,replace,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/prefill/config.py,9,<module>,module,from,typing,Any,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/config.py,9,<module>,module,from,typing,Callable,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/config.py,11,<module>,module,from,models.common.llm_runtime.config,PageTableLayout,,models,internal_models_namespace,models.common.llm_runtime.config
llm_runtime,models/common/llm_runtime/prefill/config.py,12,<module>,module,from,models.common.llm_runtime.output_reader,OutputReader,,models,internal_models_namespace,models.common.llm_runtime.output_reader
llm_runtime,models/common/llm_runtime/prefill/config.py,13,<module>,module,from,models.common.llm_runtime.prefill.sampling_helpers,_TILE_SIZE,,models,internal_models_namespace,models.common.llm_runtime.prefill.sampling_helpers
llm_runtime,models/common/llm_runtime/prefill/inputs.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/prefill/inputs.py,8,<module>,module,from,dataclasses,dataclass,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/prefill/inputs.py,9,<module>,module,from,typing,Any,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/inputs.py,9,<module>,module,from,typing,Callable,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/inputs.py,9,<module>,module,from,typing,Sequence,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/inputs.py,11,<module>,module,import,torch,,,torch,third_party_base,
llm_runtime,models/common/llm_runtime/prefill/inputs.py,13,<module>,module,import,ttnn,,,ttnn,third_party_base,
llm_runtime,models/common/llm_runtime/prefill/inputs.py,14,<module>,module,from,models.common.llm_runtime.prefill.plan,PrefillChunk,,models,internal_models_namespace,models.common.llm_runtime.prefill.plan
llm_runtime,models/common/llm_runtime/prefill/inputs.py,14,<module>,module,from,models.common.llm_runtime.prefill.plan,PrefillRequest,,models,internal_models_namespace,models.common.llm_runtime.prefill.plan
llm_runtime,models/common/llm_runtime/prefill/inputs.py,15,<module>,module,from,models.common.llm_runtime.prefill.sampling_helpers,_TILE_SIZE,,models,internal_models_namespace,models.common.llm_runtime.prefill.sampling_helpers
llm_runtime,models/common/llm_runtime/prefill/inputs.py,16,<module>,module,from,models.common.llm_runtime.tensor_resources,attach_cleanup_failures,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/prefill/inputs.py,16,<module>,module,from,models.common.llm_runtime.tensor_resources,best_effort_deallocate_owned_tensors,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/prefill/inputs.py,16,<module>,module,from,models.common.llm_runtime.tensor_resources,raise_cleanup_failures,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/prefill/plan.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/prefill/plan.py,8,<module>,module,import,math,,,math,stdlib,
llm_runtime,models/common/llm_runtime/prefill/plan.py,9,<module>,module,from,dataclasses,dataclass,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/prefill/plan.py,10,<module>,module,from,typing,Literal,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/plan.py,10,<module>,module,from,typing,Sequence,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/plan.py,12,<module>,module,import,torch,,,torch,third_party_base,
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,8,<module>,module,from,typing,Any,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,8,<module>,module,from,typing,Callable,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,8,<module>,module,from,typing,Iterable,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,10,<module>,module,import,torch,,,torch,third_party_base,
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,12,<module>,module,import,ttnn,,,ttnn,third_party_base,
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,13,<module>,module,from,models.common.llm_runtime.prefill.config,PrefillRuntimeConfig,,models,internal_models_namespace,models.common.llm_runtime.prefill.config
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,14,<module>,module,from,models.common.llm_runtime.prefill.inputs,PrefillPositionInputs,,models,internal_models_namespace,models.common.llm_runtime.prefill.inputs
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,15,<module>,module,from,models.common.llm_runtime.prefill.plan,PrefillRequest,,models,internal_models_namespace,models.common.llm_runtime.prefill.plan
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,16,<module>,module,from,models.common.llm_runtime.prefill.sampling_helpers,SamplingPath,,models,internal_models_namespace,models.common.llm_runtime.prefill.sampling_helpers
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,16,<module>,module,from,models.common.llm_runtime.prefill.sampling_helpers,_TILE_SIZE,,models,internal_models_namespace,models.common.llm_runtime.prefill.sampling_helpers
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,17,<module>,module,from,models.common.llm_runtime.prefill.signatures,PreparedPrefill,,models,internal_models_namespace,models.common.llm_runtime.prefill.signatures
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,18,<module>,module,from,models.common.modules.sampling.params,PreparedSamplingParams,,models,internal_models_namespace,models.common.modules.sampling.params
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,18,<module>,module,from,models.common.modules.sampling.params,prepare_sampling_params,,models,internal_models_namespace,models.common.modules.sampling.params
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,19,<module>,module,from,models.common.sampling.sampling_params,SamplingParams,,models,external_models_tt_metal,
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,8,<module>,module,from,dataclasses,dataclass,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,9,<module>,module,from,typing,Any,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,9,<module>,module,from,typing,Callable,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,9,<module>,module,from,typing,Iterable,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,11,<module>,module,import,torch,,,torch,third_party_base,
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,13,<module>,module,import,ttnn,,,ttnn,third_party_base,
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,14,<module>,module,from,models.common.llm_runtime.prefill.config,PrefillRuntimeConfig,,models,internal_models_namespace,models.common.llm_runtime.prefill.config
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,15,<module>,module,from,models.common.llm_runtime.prefill.postprocess,PrefillPostprocessor,,models,internal_models_namespace,models.common.llm_runtime.prefill.postprocess
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,16,<module>,module,from,models.common.llm_runtime.prefill.sampling_helpers,_TILE_SIZE,,models,internal_models_namespace,models.common.llm_runtime.prefill.sampling_helpers
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,16,<module>,module,from,models.common.llm_runtime.prefill.sampling_helpers,_merge_log_probs,,models,internal_models_namespace,models.common.llm_runtime.prefill.sampling_helpers
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,16,<module>,module,from,models.common.llm_runtime.prefill.sampling_helpers,_select_sample_log_prob,,models,internal_models_namespace,models.common.llm_runtime.prefill.sampling_helpers
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,17,<module>,module,from,models.common.llm_runtime.prefill.signatures,PreparedPrefill,,models,internal_models_namespace,models.common.llm_runtime.prefill.signatures
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,18,<module>,module,from,models.common.llm_runtime.tensor_resources,attach_cleanup_failures,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,18,<module>,module,from,models.common.llm_runtime.tensor_resources,raise_cleanup_failures,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,19,<module>,module,from,models.common.sampling.sampling_params,SamplingParams,,models,external_models_tt_metal,
llm_runtime,models/common/llm_runtime/prefill/runtime.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/prefill/runtime.py,8,<module>,module,import,os,,,os,stdlib,
llm_runtime,models/common/llm_runtime/prefill/runtime.py,9,<module>,module,from,typing,Any,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/runtime.py,9,<module>,module,from,typing,Iterable,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/runtime.py,9,<module>,module,from,typing,Sequence,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/runtime.py,11,<module>,module,import,torch,,,torch,third_party_base,
llm_runtime,models/common/llm_runtime/prefill/runtime.py,13,<module>,module,from,models.common.llm_runtime.config,PageTableLayout,,models,internal_models_namespace,models.common.llm_runtime.config
llm_runtime,models/common/llm_runtime/prefill/runtime.py,14,<module>,module,from,models.common.llm_runtime.prefill,postprocess,prefill_postprocess,models,internal_models_namespace,models.common.llm_runtime.prefill.postprocess
llm_runtime,models/common/llm_runtime/prefill/runtime.py,15,<module>,module,from,models.common.llm_runtime.prefill,result_collector,prefill_result_collector,models,internal_models_namespace,models.common.llm_runtime.prefill.result_collector
llm_runtime,models/common/llm_runtime/prefill/runtime.py,16,<module>,module,from,models.common.llm_runtime.prefill,sequence_runner,prefill_sequence_runner,models,internal_models_namespace,models.common.llm_runtime.prefill.sequence_runner
llm_runtime,models/common/llm_runtime/prefill/runtime.py,17,<module>,module,from,models.common.llm_runtime.prefill,trace,prefill_trace,models,internal_models_namespace,models.common.llm_runtime.prefill.trace
llm_runtime,models/common/llm_runtime/prefill/runtime.py,18,<module>,module,from,models.common.llm_runtime.prefill.config,PrefillRuntimeConfig,,models,internal_models_namespace,models.common.llm_runtime.prefill.config
llm_runtime,models/common/llm_runtime/prefill/runtime.py,19,<module>,module,from,models.common.llm_runtime.prefill.inputs,PrefillDeviceInputs,,models,internal_models_namespace,models.common.llm_runtime.prefill.inputs
llm_runtime,models/common/llm_runtime/prefill/runtime.py,19,<module>,module,from,models.common.llm_runtime.prefill.inputs,PrefillInputStager,,models,internal_models_namespace,models.common.llm_runtime.prefill.inputs
llm_runtime,models/common/llm_runtime/prefill/runtime.py,19,<module>,module,from,models.common.llm_runtime.prefill.inputs,PrefillPositionInputs,,models,internal_models_namespace,models.common.llm_runtime.prefill.inputs
llm_runtime,models/common/llm_runtime/prefill/runtime.py,19,<module>,module,from,models.common.llm_runtime.prefill.inputs,allocate_device_tensors,,models,internal_models_namespace,models.common.llm_runtime.prefill.inputs
llm_runtime,models/common/llm_runtime/prefill/runtime.py,19,<module>,module,from,models.common.llm_runtime.prefill.inputs,copy_into_device_tensors,,models,internal_models_namespace,models.common.llm_runtime.prefill.inputs
llm_runtime,models/common/llm_runtime/prefill/runtime.py,26,<module>,module,from,models.common.llm_runtime.prefill.plan,PrefillChunk,,models,internal_models_namespace,models.common.llm_runtime.prefill.plan
llm_runtime,models/common/llm_runtime/prefill/runtime.py,26,<module>,module,from,models.common.llm_runtime.prefill.plan,PrefillRequest,,models,internal_models_namespace,models.common.llm_runtime.prefill.plan
llm_runtime,models/common/llm_runtime/prefill/runtime.py,26,<module>,module,from,models.common.llm_runtime.prefill.plan,_max_prefill_chunk_size,,models,internal_models_namespace,models.common.llm_runtime.prefill.plan
llm_runtime,models/common/llm_runtime/prefill/runtime.py,26,<module>,module,from,models.common.llm_runtime.prefill.plan,_padded_prefill_length,,models,internal_models_namespace,models.common.llm_runtime.prefill.plan
llm_runtime,models/common/llm_runtime/prefill/runtime.py,26,<module>,module,from,models.common.llm_runtime.prefill.plan,_plan_prefill_requests,,models,internal_models_namespace,models.common.llm_runtime.prefill.plan
llm_runtime,models/common/llm_runtime/prefill/runtime.py,33,<module>,module,from,models.common.llm_runtime.prefill.sampling_helpers,_slice_sampling_params,,models,internal_models_namespace,models.common.llm_runtime.prefill.sampling_helpers
llm_runtime,models/common/llm_runtime/prefill/runtime.py,34,<module>,module,from,models.common.llm_runtime.prefill.signatures,PreparedPrefill,,models,internal_models_namespace,models.common.llm_runtime.prefill.signatures
llm_runtime,models/common/llm_runtime/prefill/runtime.py,34,<module>,module,from,models.common.llm_runtime.prefill.signatures,build_program_signatures,,models,internal_models_namespace,models.common.llm_runtime.prefill.signatures
llm_runtime,models/common/llm_runtime/prefill/runtime.py,34,<module>,module,from,models.common.llm_runtime.prefill.signatures,build_trace_signature,,models,internal_models_namespace,models.common.llm_runtime.prefill.signatures
llm_runtime,models/common/llm_runtime/prefill/runtime.py,39,<module>,module,from,models.common.llm_runtime.tensor_resources,TensorResourceOrphan,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/prefill/runtime.py,39,<module>,module,from,models.common.llm_runtime.tensor_resources,best_effort_deallocate_owned_tensors,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/prefill/runtime.py,39,<module>,module,from,models.common.llm_runtime.tensor_resources,raise_cleanup_failures,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/prefill/runtime.py,39,<module>,module,from,models.common.llm_runtime.tensor_resources,release_orphans,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/prefill/runtime.py,45,<module>,module,from,models.common.modules.sampling.params,prepare_sampling_params,,models,internal_models_namespace,models.common.modules.sampling.params
llm_runtime,models/common/llm_runtime/prefill/runtime.py,46,<module>,module,from,models.common.sampling.sampling_params,SamplingParams,,models,external_models_tt_metal,
llm_runtime,models/common/llm_runtime/prefill/sampling_helpers.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/prefill/sampling_helpers.py,8,<module>,module,from,typing,Literal,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/sampling_helpers.py,10,<module>,module,import,torch,,,torch,third_party_base,
llm_runtime,models/common/llm_runtime/prefill/sampling_helpers.py,12,<module>,module,import,ttnn,,,ttnn,third_party_base,
llm_runtime,models/common/llm_runtime/prefill/sampling_helpers.py,13,<module>,module,from,models.common.modules.sampling.params,prepare_sampling_params,,models,internal_models_namespace,models.common.modules.sampling.params
llm_runtime,models/common/llm_runtime/prefill/sampling_helpers.py,13,<module>,module,from,models.common.modules.sampling.params,slice_sampling_params,,models,internal_models_namespace,models.common.modules.sampling.params
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,8,<module>,module,from,typing,Any,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,8,<module>,module,from,typing,Callable,,typing,stdlib,
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,10,<module>,module,from,models.common.llm_runtime.prefill.inputs,PrefillDeviceInputs,,models,internal_models_namespace,models.common.llm_runtime.prefill.inputs
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,10,<module>,module,from,models.common.llm_runtime.prefill.inputs,PrefillInputStager,,models,internal_models_namespace,models.common.llm_runtime.prefill.inputs
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,10,<module>,module,from,models.common.llm_runtime.prefill.inputs,PrefillPositionInputs,,models,internal_models_namespace,models.common.llm_runtime.prefill.inputs
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,11,<module>,module,from,models.common.llm_runtime.prefill.plan,PrefillChunk,,models,internal_models_namespace,models.common.llm_runtime.prefill.plan
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,11,<module>,module,from,models.common.llm_runtime.prefill.plan,PrefillRequest,,models,internal_models_namespace,models.common.llm_runtime.prefill.plan
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,12,<module>,module,from,models.common.llm_runtime.prefill.postprocess,PrefillPostprocessor,,models,internal_models_namespace,models.common.llm_runtime.prefill.postprocess
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,12,<module>,module,from,models.common.llm_runtime.prefill.postprocess,retain_owned,,models,internal_models_namespace,models.common.llm_runtime.prefill.postprocess
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,13,<module>,module,from,models.common.llm_runtime.prefill.result_collector,InvocationResult,,models,internal_models_namespace,models.common.llm_runtime.prefill.result_collector
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,14,<module>,module,from,models.common.llm_runtime.prefill.signatures,PreparedPrefill,,models,internal_models_namespace,models.common.llm_runtime.prefill.signatures
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,15,<module>,module,from,models.common.llm_runtime.tensor_resources,attach_cleanup_failures,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,15,<module>,module,from,models.common.llm_runtime.tensor_resources,raise_cleanup_failures,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/prefill/signatures.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
