layer,source_path,line,scope,timing,kind,module,imported_symbol,alias,root,classification,internal_target
llm_runtime,models/common/llm_runtime/config.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/config.py,8,<module>,module,from,dataclasses,dataclass,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/config.py,9,<module>,module,from,typing,Literal,,typing,stdlib,
llm_runtime,models/common/llm_runtime/config.py,11,<module>,module,import,ttnn,,,ttnn,third_party_base,
llm_runtime,models/common/llm_runtime/decode.py,6,<module>,module,from,__future__,annotations,,__future__,stdlib,
llm_runtime,models/common/llm_runtime/decode.py,8,<module>,module,import,contextlib,,,contextlib,stdlib,
llm_runtime,models/common/llm_runtime/decode.py,9,<module>,module,import,dataclasses,,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/decode.py,10,<module>,module,import,functools,,,functools,stdlib,
llm_runtime,models/common/llm_runtime/decode.py,11,<module>,module,from,dataclasses,dataclass,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/decode.py,11,<module>,module,from,dataclasses,field,,dataclasses,stdlib,
llm_runtime,models/common/llm_runtime/decode.py,12,<module>,module,from,typing,Any,,typing,stdlib,
llm_runtime,models/common/llm_runtime/decode.py,14,<module>,module,import,torch,,,torch,third_party_base,
llm_runtime,models/common/llm_runtime/decode.py,15,<module>,module,from,loguru,logger,,loguru,third_party_base,
llm_runtime,models/common/llm_runtime/decode.py,17,<module>,module,import,ttnn,,,ttnn,third_party_base,
llm_runtime,models/common/llm_runtime/decode.py,18,<module>,module,from,models.common.llm_runtime.config,PageTableLayout,,models,internal_models_namespace,models.common.llm_runtime.config
llm_runtime,models/common/llm_runtime/decode.py,19,<module>,module,from,models.common.llm_runtime.output_reader,OutputReader,,models,internal_models_namespace,models.common.llm_runtime.output_reader
llm_runtime,models/common/llm_runtime/decode.py,19,<module>,module,from,models.common.llm_runtime.output_reader,PendingRead,,models,internal_models_namespace,models.common.llm_runtime.output_reader
llm_runtime,models/common/llm_runtime/decode.py,20,<module>,module,from,models.common.llm_runtime.tensor_resources,TensorResourceOrphan,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/decode.py,20,<module>,module,from,models.common.llm_runtime.tensor_resources,attach_cleanup_failures,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/decode.py,20,<module>,module,from,models.common.llm_runtime.tensor_resources,best_effort_deallocate_owned_tensors,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/decode.py,20,<module>,module,from,models.common.llm_runtime.tensor_resources,raise_cleanup_failures,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/decode.py,20,<module>,module,from,models.common.llm_runtime.tensor_resources,release_orphans,,models,internal_models_namespace,models.common.llm_runtime.tensor_resources
llm_runtime,models/common/llm_runtime/decode.py,27,<module>,module,from,models.common.modules.sampling.params,PreparedSamplingParams,,models,internal_models_namespace,models.common.modules.sampling.params
llm_runtime,models/common/llm_runtime/decode.py,27,<module>,module,from,models.common.modules.sampling.params,place_prepared_sampling_params,,models,internal_models_namespace,models.common.modules.sampling.params
