source_module,target_module,classification,imported_symbol_count,site_count,symbols
models.common.llm_runtime.config,__future__,stdlib,1,1,annotations
models.common.llm_runtime.config,dataclasses,stdlib,1,1,dataclass
models.common.llm_runtime.config,ttnn,third_party_base,1,1,
models.common.llm_runtime.config,typing,stdlib,1,1,Literal
models.common.llm_runtime.decode,__future__,stdlib,1,1,annotations
models.common.llm_runtime.decode,contextlib,stdlib,1,1,
models.common.llm_runtime.decode,dataclasses,stdlib,3,2,dataclass|field
models.common.llm_runtime.decode,functools,stdlib,1,1,
models.common.llm_runtime.decode,loguru,third_party_base,1,1,logger
models.common.llm_runtime.decode,models.common.llm_runtime.config,internal_models_namespace,1,1,PageTableLayout
models.common.llm_runtime.decode,models.common.llm_runtime.output_reader,internal_models_namespace,2,1,OutputReader|PendingRead
models.common.llm_runtime.decode,models.common.llm_runtime.tensor_resources,internal_models_namespace,5,1,TensorResourceOrphan|attach_cleanup_failures|best_effort_deallocate_owned_tensors|raise_cleanup_failures|release_orphans
models.common.llm_runtime.decode,models.common.modules.sampling.params,internal_models_namespace,4,1,PreparedSamplingParams|place_prepared_sampling_params|prepare_sampling_params|slice_sampling_params
models.common.llm_runtime.decode,models.common.modules.sampling.seed_manager_1d,internal_models_namespace,1,1,SeedManager1D
models.common.llm_runtime.decode,models.common.sampling.sampling_params,external_models_tt_metal,1,1,SamplingParams
models.common.llm_runtime.decode,torch,third_party_base,1,1,
models.common.llm_runtime.decode,ttnn,third_party_base,1,1,
models.common.llm_runtime.decode,typing,stdlib,1,1,Any
models.common.llm_runtime.execution,__future__,stdlib,1,1,annotations
models.common.llm_runtime.execution,collections.abc,stdlib,1,1,Sequence
models.common.llm_runtime.execution,dataclasses,stdlib,2,1,asdict|dataclass
models.common.llm_runtime.execution,json,stdlib,1,1,
models.common.llm_runtime.execution,loguru,third_party_base,1,1,logger
models.common.llm_runtime.execution,models.common.llm_runtime.decode,internal_models_namespace,2,2,DecodeRuntime|InvocationResult
models.common.llm_runtime.execution,models.common.llm_runtime.prefill.plan,internal_models_namespace,1,1,PrefillRequest
models.common.llm_runtime.execution,models.common.llm_runtime.prefill.runtime,internal_models_namespace,1,1,PrefillRuntime
models.common.llm_runtime.execution,models.common.llm_runtime.program_compiler,internal_models_namespace,3,1,CompiledProgram|OutputSpec|ProgramCompiler
models.common.llm_runtime.execution,models.common.llm_runtime.trace_compiler,internal_models_namespace,3,1,InputRefreshPolicy|TraceCapturePlan|TraceCompiler
models.common.llm_runtime.execution,torch,third_party_base,1,1,
models.common.llm_runtime.execution,typing,stdlib,1,1,Any
models.common.llm_runtime.lane_group,__future__,stdlib,1,1,annotations
models.common.llm_runtime.lane_group,concurrent.futures,stdlib,3,1,Future|ThreadPoolExecutor|wait
models.common.llm_runtime.lane_group,contextlib,stdlib,1,1,ExitStack
models.common.llm_runtime.lane_group,copy,stdlib,1,1,
models.common.llm_runtime.lane_group,dataclasses,stdlib,1,1,
models.common.llm_runtime.lane_group,models.common.llm_runtime.execution,internal_models_namespace,2,1,EagerExecutor|TracedExecutor
models.common.llm_runtime.lane_group,threading,stdlib,1,1,
