layer,source_path,line,scope,access,key_expression,resolved_keys,default_expression,expression
models,models/common/models/mistral_7b/hf_adaptor.py,162,_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/mistral_7b/hf_adaptor.py,163,_cache_path,os.environ[],'TT_CACHE_PATH',TT_CACHE_PATH,,"os.environ[""TT_CACHE_PATH""]"
models,models/common/models/mistral_7b/hf_adaptor.py,258,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/mistral_7b/hf_adaptor.py,271,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/mistral_7b/hf_adaptor.py,338,from_pretrained,os.getenv,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.getenv(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/mistral_7b/hf_adaptor.py,339,from_pretrained,os.getenv,'DISABLE_BATCHED_EXTRACT',DISABLE_BATCHED_EXTRACT,,"os.getenv(""DISABLE_BATCHED_EXTRACT"")"
models,models/common/models/mistral_7b/model.py,277,_resolve_mistral_wh_tuning,os.environ.get,'DISABLE_MINIMAL_MATMUL',DISABLE_MINIMAL_MATMUL,,"os.environ.get(""DISABLE_MINIMAL_MATMUL"")"
models,models/common/models/phi4/hf_adaptor.py,148,load_tokenizer,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/phi4/hf_adaptor.py,168,_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/phi4/hf_adaptor.py,169,_cache_path,os.environ[],'TT_CACHE_PATH',TT_CACHE_PATH,,"os.environ[""TT_CACHE_PATH""]"
models,models/common/models/phi4/hf_adaptor.py,260,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/phi4/hf_adaptor.py,328,from_pretrained,os.getenv,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.getenv(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/phi4/hf_adaptor.py,329,from_pretrained,os.getenv,'DISABLE_BATCHED_EXTRACT',DISABLE_BATCHED_EXTRACT,,"os.getenv(""DISABLE_BATCHED_EXTRACT"")"
models,models/common/models/phi4/model.py,286,_resolve_phi4_wh_tuning,os.environ.get,'DISABLE_MINIMAL_MATMUL',DISABLE_MINIMAL_MATMUL,,"os.environ.get(""DISABLE_MINIMAL_MATMUL"")"
models,models/common/models/qwen25_72b/hf_adaptor.py,37,_local_files_only,os.getenv,name,CI|HF_HUB_OFFLINE|TRANSFORMERS_OFFLINE,'',"os.getenv(name, """")"
models,models/common/models/qwen25_72b/hf_adaptor.py,186,_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/qwen25_72b/hf_adaptor.py,187,_cache_path,os.environ[],'TT_CACHE_PATH',TT_CACHE_PATH,,"os.environ[""TT_CACHE_PATH""]"
models,models/common/models/qwen25_72b/hf_adaptor.py,355,from_pretrained,os.getenv,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.getenv(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/qwen25_72b/hf_adaptor.py,356,from_pretrained,os.getenv,'DISABLE_BATCHED_EXTRACT',DISABLE_BATCHED_EXTRACT,,"os.getenv(""DISABLE_BATCHED_EXTRACT"")"
models,models/common/models/qwen25_72b/model.py,394,_resolve_qwen_72b_wh_tuning,os.environ.get,'DISABLE_MINIMAL_MATMUL',DISABLE_MINIMAL_MATMUL,,"os.environ.get(""DISABLE_MINIMAL_MATMUL"")"
models,models/common/models/qwen25_7b/hf_adaptor.py,144,load_tokenizer,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/qwen25_7b/hf_adaptor.py,165,_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/qwen25_7b/hf_adaptor.py,166,_cache_path,os.environ[],'TT_CACHE_PATH',TT_CACHE_PATH,,"os.environ[""TT_CACHE_PATH""]"
models,models/common/models/qwen25_7b/hf_adaptor.py,241,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/qwen25_7b/hf_adaptor.py,247,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/qwen25_7b/hf_adaptor.py,308,from_pretrained,os.getenv,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.getenv(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/qwen25_coder_32b/demo.py,70,device_params,os.environ.get,'MESH_DEVICE',MESH_DEVICE,,"os.environ.get(""MESH_DEVICE"")"
models,models/common/models/qwen25_coder_32b/demo.py,88,<module>,os.environ.get,'MESH_DEVICE',MESH_DEVICE,,"os.environ.get(""MESH_DEVICE"")"
models,models/common/models/qwen25_coder_32b/demo.py,97,hf_model_id,os.environ.get,'HF_MODEL',HF_MODEL,'Qwen/Qwen2.5-Coder-32B-Instruct',"os.environ.get(""HF_MODEL"", ""Qwen/Qwen2.5-Coder-32B-Instruct"")"
models,models/common/models/qwen25_coder_32b/demo.py,108,test_qwen25_coder_32b_prefill_smoke,os.environ.get,'QWEN25_CODER_32B_DEMO_NUM_LAYERS',QWEN25_CODER_32B_DEMO_NUM_LAYERS,'1',"os.environ.get(""QWEN25_CODER_32B_DEMO_NUM_LAYERS"", ""1"")"
models,models/common/models/qwen25_coder_32b/demo.py,152,test_qwen25_coder_32b_decode_one_step,os.environ.get,'QWEN25_CODER_32B_DEMO_NUM_LAYERS',QWEN25_CODER_32B_DEMO_NUM_LAYERS,'1',"os.environ.get(""QWEN25_CODER_32B_DEMO_NUM_LAYERS"", ""1"")"
models,models/common/models/qwen25_coder_32b/demo.py,192,test_qwen25_coder_32b_executor_prefill_smoke,os.environ.get,'QWEN25_CODER_32B_DEMO_NUM_LAYERS',QWEN25_CODER_32B_DEMO_NUM_LAYERS,'1',"os.environ.get(""QWEN25_CODER_32B_DEMO_NUM_LAYERS"", ""1"")"
models,models/common/models/qwen25_coder_32b/demo.py,242,test_qwen25_coder_32b_teacher_forcing_prefill_vs_hf,os.environ.get,'QWEN25_CODER_32B_DEMO_NUM_LAYERS',QWEN25_CODER_32B_DEMO_NUM_LAYERS,,"os.environ.get(""QWEN25_CODER_32B_DEMO_NUM_LAYERS"")"
models,models/common/models/qwen25_coder_32b/demo.py,307,test_qwen25_coder_32b_eager_traced_prefill_logits_match,os.environ.get,'QWEN25_CODER_32B_DEMO_NUM_LAYERS',QWEN25_CODER_32B_DEMO_NUM_LAYERS,'1',"os.environ.get(""QWEN25_CODER_32B_DEMO_NUM_LAYERS"", ""1"")"
models,models/common/models/qwen25_coder_32b/demo.py,385,test_qwen25_coder_32b_numerical_divergence_vs_hf,os.environ.get,'QWEN25_CODER_32B_NUMDIV_LAYERS',QWEN25_CODER_32B_NUMDIV_LAYERS,n_hf,"os.environ.get(""QWEN25_CODER_32B_NUMDIV_LAYERS"", n_hf)"
models,models/common/models/qwen25_coder_32b/demo.py,388,test_qwen25_coder_32b_numerical_divergence_vs_hf,os.environ.get,'QWEN25_CODER_32B_NUMDIV_SEQ',QWEN25_CODER_32B_NUMDIV_SEQ,'128',"os.environ.get(""QWEN25_CODER_32B_NUMDIV_SEQ"", ""128"")"
models,models/common/models/qwen25_coder_32b/demo.py,391,test_qwen25_coder_32b_numerical_divergence_vs_hf,os.environ.get,'QWEN25_CODER_32B_NUMDIV_OUT',QWEN25_CODER_32B_NUMDIV_OUT,'/tmp/qwen25_coder_32b_numdiv.csv',"os.environ.get(""QWEN25_CODER_32B_NUMDIV_OUT"", ""/tmp/qwen25_coder_32b_numdiv.csv"")"
models,models/common/models/qwen25_coder_32b/hf_adaptor.py,36,_local_files_only,os.getenv,name,CI|HF_HUB_OFFLINE|TRANSFORMERS_OFFLINE,'',"os.getenv(name, """")"
models,models/common/models/qwen25_coder_32b/hf_adaptor.py,186,_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/qwen25_coder_32b/hf_adaptor.py,187,_cache_path,os.environ[],'TT_CACHE_PATH',TT_CACHE_PATH,,"os.environ[""TT_CACHE_PATH""]"
models,models/common/models/qwen25_coder_32b/hf_adaptor.py,361,from_pretrained,os.environ.get,'DISABLE_BATCHED_EXTRACT',DISABLE_BATCHED_EXTRACT,,"os.environ.get(""DISABLE_BATCHED_EXTRACT"")"
models,models/common/models/qwen25_coder_32b/model.py,355,<module>,os.environ.get,'DISABLE_PREFILL_AG_BF8',DISABLE_PREFILL_AG_BF8,,"os.environ.get(""DISABLE_PREFILL_AG_BF8"")"
models,models/common/models/qwen25_coder_32b/model.py,447,_resolve_qwen_coder_wh_tuning,os.environ.get,'DISABLE_MINIMAL_MATMUL',DISABLE_MINIMAL_MATMUL,,"os.environ.get(""DISABLE_MINIMAL_MATMUL"")"
models,models/common/models/qwen25_coder_32b/model.py,448,_resolve_qwen_coder_wh_tuning,os.environ.get,'DISABLE_PREFILL_REDUCE_BF8',DISABLE_PREFILL_REDUCE_BF8,,"os.environ.get(""DISABLE_PREFILL_REDUCE_BF8"")"
models,models/common/models/qwen2_7b/hf_adaptor.py,144,load_tokenizer,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/qwen2_7b/hf_adaptor.py,165,_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/qwen2_7b/hf_adaptor.py,166,_cache_path,os.environ[],'TT_CACHE_PATH',TT_CACHE_PATH,,"os.environ[""TT_CACHE_PATH""]"
models,models/common/models/qwen2_7b/hf_adaptor.py,241,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/qwen2_7b/hf_adaptor.py,247,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/qwen2_7b/hf_adaptor.py,308,from_pretrained,os.getenv,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.getenv(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/qwen3_32b/demo.py,68,device_params,os.environ.get,'MESH_DEVICE',MESH_DEVICE,,"os.environ.get(""MESH_DEVICE"")"
models,models/common/models/qwen3_32b/demo.py,86,<module>,os.environ.get,'MESH_DEVICE',MESH_DEVICE,,"os.environ.get(""MESH_DEVICE"")"
models,models/common/models/qwen3_32b/demo.py,95,hf_model_id,os.environ.get,'HF_MODEL',HF_MODEL,'Qwen/Qwen3-32B',"os.environ.get(""HF_MODEL"", ""Qwen/Qwen3-32B"")"
models,models/common/models/qwen3_32b/demo.py,106,test_qwen3_32b_prefill_smoke,os.environ.get,'QWEN3_32B_DEMO_NUM_LAYERS',QWEN3_32B_DEMO_NUM_LAYERS,'1',"os.environ.get(""QWEN3_32B_DEMO_NUM_LAYERS"", ""1"")"
models,models/common/models/qwen3_32b/demo.py,150,test_qwen3_32b_decode_one_step,os.environ.get,'QWEN3_32B_DEMO_NUM_LAYERS',QWEN3_32B_DEMO_NUM_LAYERS,'1',"os.environ.get(""QWEN3_32B_DEMO_NUM_LAYERS"", ""1"")"
models,models/common/models/qwen3_32b/demo.py,190,test_qwen3_32b_executor_prefill_smoke,os.environ.get,'QWEN3_32B_DEMO_NUM_LAYERS',QWEN3_32B_DEMO_NUM_LAYERS,'1',"os.environ.get(""QWEN3_32B_DEMO_NUM_LAYERS"", ""1"")"
models,models/common/models/qwen3_32b/demo.py,243,test_qwen3_32b_teacher_forcing_prefill_vs_hf,os.environ.get,'QWEN3_32B_DEMO_NUM_LAYERS',QWEN3_32B_DEMO_NUM_LAYERS,,"os.environ.get(""QWEN3_32B_DEMO_NUM_LAYERS"")"
models,models/common/models/qwen3_32b/demo.py,312,test_qwen3_32b_eager_traced_prefill_logits_match,os.environ.get,'QWEN3_32B_DEMO_NUM_LAYERS',QWEN3_32B_DEMO_NUM_LAYERS,'1',"os.environ.get(""QWEN3_32B_DEMO_NUM_LAYERS"", ""1"")"
models,models/common/models/qwen3_32b/demo.py,390,test_qwen3_32b_numerical_divergence_vs_hf,os.environ.get,'QWEN3_32B_NUMDIV_LAYERS',QWEN3_32B_NUMDIV_LAYERS,n_hf,"os.environ.get(""QWEN3_32B_NUMDIV_LAYERS"", n_hf)"
models,models/common/models/qwen3_32b/demo.py,393,test_qwen3_32b_numerical_divergence_vs_hf,os.environ.get,'QWEN3_32B_NUMDIV_SEQ',QWEN3_32B_NUMDIV_SEQ,'128',"os.environ.get(""QWEN3_32B_NUMDIV_SEQ"", ""128"")"
models,models/common/models/qwen3_32b/demo.py,396,test_qwen3_32b_numerical_divergence_vs_hf,os.environ.get,'QWEN3_32B_NUMDIV_OUT',QWEN3_32B_NUMDIV_OUT,'/tmp/qwen3_32b_numdiv.csv',"os.environ.get(""QWEN3_32B_NUMDIV_OUT"", ""/tmp/qwen3_32b_numdiv.csv"")"
models,models/common/models/qwen3_32b/hf_adaptor.py,31,_local_files_only,os.getenv,name,CI|HF_HUB_OFFLINE|TRANSFORMERS_OFFLINE,'',"os.getenv(name, """")"
models,models/common/models/qwen3_32b/hf_adaptor.py,193,_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/qwen3_32b/hf_adaptor.py,194,_cache_path,os.environ[],'TT_CACHE_PATH',TT_CACHE_PATH,,"os.environ[""TT_CACHE_PATH""]"
models,models/common/models/qwen3_32b/hf_adaptor.py,299,from_pretrained,os.getenv,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.getenv(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/qwen3_32b/hf_adaptor.py,300,from_pretrained,os.environ.get,'DISABLE_BATCHED_EXTRACT',DISABLE_BATCHED_EXTRACT,,"os.environ.get(""DISABLE_BATCHED_EXTRACT"")"
models,models/common/models/qwen3_32b/model.py,399,_resolve_qwen3_32b_sku_overlay,os.environ.get,'DISABLE_MINIMAL_MATMUL',DISABLE_MINIMAL_MATMUL,,"os.environ.get(""DISABLE_MINIMAL_MATMUL"")"
models,models/common/models/qwen3_32b/model.py,886,Qwen3_32B.from_pretrained,os.getenv,name,CI|HF_HUB_OFFLINE|TRANSFORMERS_OFFLINE,'',"os.getenv(name, """")"
models,models/common/models/qwen3_32b/model.py,1041,Qwen3_32B.from_pretrained,os.environ.get,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.environ.get(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/qwen3_32b/model.py,1045,Qwen3_32B.from_pretrained,os.environ.get,'DISABLE_BATCHED_EXTRACT',DISABLE_BATCHED_EXTRACT,,"os.environ.get(""DISABLE_BATCHED_EXTRACT"")"
