layer,source_path,line,scope,access,key_expression,resolved_keys,default_expression,expression
llm_runtime,models/common/llm_runtime/prefill/runtime.py,202,PrefillRuntime.prepare,os.environ.get,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.environ.get(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,146,load_tokenizer,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,164,_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,165,_cache_path,os.environ[],'TT_CACHE_PATH',TT_CACHE_PATH,,"os.environ[""TT_CACHE_PATH""]"
models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,274,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,281,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,341,from_pretrained,os.getenv,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.getenv(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/deepseek_r1_distill_qwen_14b/model.py,319,_resolve_ds_r1_wh_tuning,os.environ.get,'DISABLE_MINIMAL_MATMUL',DISABLE_MINIMAL_MATMUL,,"os.environ.get(""DISABLE_MINIMAL_MATMUL"")"
models,models/common/models/llama32_1b/hf_adaptor.py,141,load_tokenizer,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/llama32_1b/hf_adaptor.py,158,_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/llama32_1b/hf_adaptor.py,159,_cache_path,os.environ[],'TT_CACHE_PATH',TT_CACHE_PATH,,"os.environ[""TT_CACHE_PATH""]"
models,models/common/models/llama32_1b/hf_adaptor.py,222,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/llama32_1b/hf_adaptor.py,224,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/llama32_1b/hf_adaptor.py,284,from_pretrained,os.getenv,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.getenv(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/llama32_1b/model.py,392,_resolve_llama32_1b_wh_tuning,os.environ.get,'DISABLE_MINIMAL_MATMUL',DISABLE_MINIMAL_MATMUL,,"os.environ.get(""DISABLE_MINIMAL_MATMUL"")"
models,models/common/models/llama32_3b/hf_adaptor.py,141,load_tokenizer,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/llama32_3b/hf_adaptor.py,159,_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/llama32_3b/hf_adaptor.py,160,_cache_path,os.environ[],'TT_CACHE_PATH',TT_CACHE_PATH,,"os.environ[""TT_CACHE_PATH""]"
models,models/common/models/llama32_3b/hf_adaptor.py,223,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/llama32_3b/hf_adaptor.py,225,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/llama32_3b/hf_adaptor.py,285,from_pretrained,os.getenv,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.getenv(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/llama32_3b/model.py,384,_resolve_llama32_3b_wh_tuning,os.environ.get,'DISABLE_MINIMAL_MATMUL',DISABLE_MINIMAL_MATMUL,,"os.environ.get(""DISABLE_MINIMAL_MATMUL"")"
models,models/common/models/llama33_70b/hf_adaptor.py,143,load_tokenizer,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/llama33_70b/hf_adaptor.py,189,_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/llama33_70b/hf_adaptor.py,190,_cache_path,os.environ[],'TT_CACHE_PATH',TT_CACHE_PATH,,"os.environ[""TT_CACHE_PATH""]"
models,models/common/models/llama33_70b/hf_adaptor.py,268,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/llama33_70b/hf_adaptor.py,339,from_pretrained,os.getenv,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.getenv(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/llama33_70b/model.py,524,_resolve_llama33_70b_profile,os.environ.get,'DISABLE_MINIMAL_MATMUL',DISABLE_MINIMAL_MATMUL,,"os.environ.get(""DISABLE_MINIMAL_MATMUL"")"
models,models/common/models/llama3_8b/hf_adaptor.py,108,resolve_hf_model_id,os.getenv,'HF_MODEL',HF_MODEL,,"os.getenv(""HF_MODEL"")"
models,models/common/models/llama3_8b/hf_adaptor.py,223,load_tokenizer,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/llama3_8b/hf_adaptor.py,362,load_converted_state_dict,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/llama3_8b/hf_adaptor.py,381,_model_cache_path,os.getenv,'TT_CACHE_PATH',TT_CACHE_PATH,,"os.getenv(""TT_CACHE_PATH"")"
models,models/common/models/llama3_8b/hf_adaptor.py,394,_model_cache_path,os.getenv,'TT_CACHE_FALLBACK_PATH',TT_CACHE_FALLBACK_PATH,'/tmp/tttv2_model_cache',"os.getenv(""TT_CACHE_FALLBACK_PATH"", ""/tmp/tttv2_model_cache"")"
models,models/common/models/llama3_8b/hf_adaptor.py,404,_max_prefill_chunk_size,os.getenv,'MAX_PREFILL_CHUNK_SIZE',MAX_PREFILL_CHUNK_SIZE,,"os.getenv(""MAX_PREFILL_CHUNK_SIZE"")"
models,models/common/models/llama3_8b/hf_adaptor.py,438,_disable_batched_prefill,os.getenv,'DISABLE_BATCHED_PREFILL',DISABLE_BATCHED_PREFILL,,"os.getenv(""DISABLE_BATCHED_PREFILL"")"
models,models/common/models/llama3_8b/hf_adaptor.py,476,from_pretrained,os.getenv,'CI',CI,,"os.getenv(""CI"")"
models,models/common/models/llama3_8b/hf_adaptor.py,547,from_pretrained,os.environ.get,'DISABLE_BATCHED_EXTRACT',DISABLE_BATCHED_EXTRACT,,"os.environ.get(""DISABLE_BATCHED_EXTRACT"")"
models,models/common/models/mistral_7b/hf_adaptor.py,147,load_tokenizer,os.getenv,'CI',CI,,"os.getenv(""CI"")"
