layer,source_path,source_module,destination_module_candidate,git_blob_sha,lines,nonblank_lines
models,models/common/models/deepseek_r1_distill_qwen_14b/executor.py,models.common.models.deepseek_r1_distill_qwen_14b.executor,tt_transformers.models.deepseek_r1_distill_qwen_14b.executor,6c7253d6736d1207fdcbdc224c32c9b38185590c,615,550
models,models/common/models/deepseek_r1_distill_qwen_14b/generator.py,models.common.models.deepseek_r1_distill_qwen_14b.generator,tt_transformers.models.deepseek_r1_distill_qwen_14b.generator,b237ded940235fdd4eb2e025c43dae3076de4d00,486,416
models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,models.common.models.deepseek_r1_distill_qwen_14b.hf_adaptor,tt_transformers.models.deepseek_r1_distill_qwen_14b.hf_adaptor,c16d1c1fdd37fd3849e3c0213e404e529d2812a3,349,312
models,models/common/models/deepseek_r1_distill_qwen_14b/model.py,models.common.models.deepseek_r1_distill_qwen_14b.model,tt_transformers.models.deepseek_r1_distill_qwen_14b.model,778f43742e15b7694355a4b90b8003b298920cac,1104,993
models,models/common/models/deepseek_r1_distill_qwen_14b/weight_utils.py,models.common.models.deepseek_r1_distill_qwen_14b.weight_utils,tt_transformers.models.deepseek_r1_distill_qwen_14b.weight_utils,64c9b1475084931b9ceb07bd40555c77e54910f4,213,177
models,models/common/models/executor.py,models.common.models.executor,tt_transformers.models.executor,bd1d4a8607aa27a75ad63109b046bcc41cd47d11,671,605
models,models/common/models/llama32_1b/__init__.py,models.common.models.llama32_1b,tt_transformers.models.llama32_1b,06fe9b14b6eba1a6056e3cdf073a20d545dc2c6e,24,22
models,models/common/models/llama32_1b/executor.py,models.common.models.llama32_1b.executor,tt_transformers.models.llama32_1b.executor,bf918255415080e3a71b89d87e56aa38ce475901,13,8
models,models/common/models/llama32_1b/generator.py,models.common.models.llama32_1b.generator,tt_transformers.models.llama32_1b.generator,bf029d591980d91cb95f9a6ede36f230b9f9aa3f,477,407
models,models/common/models/llama32_1b/hf_adaptor.py,models.common.models.llama32_1b.hf_adaptor,tt_transformers.models.llama32_1b.hf_adaptor,74cc9f22ae53ec5690a24b36209ec5e5eb2a8bdc,292,257
models,models/common/models/llama32_1b/model.py,models.common.models.llama32_1b.model,tt_transformers.models.llama32_1b.model,d75483410bca1cc1e03f53db716f246cc7222040,1138,1010
models,models/common/models/llama32_1b/weight_utils.py,models.common.models.llama32_1b.weight_utils,tt_transformers.models.llama32_1b.weight_utils,ea28a388ad1a57f3ce349d6a705a2fe5c3a80e81,106,82
models,models/common/models/llama32_3b/__init__.py,models.common.models.llama32_3b,tt_transformers.models.llama32_3b,5f5bdea637c449a32bea9c15bebe956d24991e56,24,22
models,models/common/models/llama32_3b/executor.py,models.common.models.llama32_3b.executor,tt_transformers.models.llama32_3b.executor,d74eaaba555b37e7f3b1dae134485125fcf83ca9,13,8
models,models/common/models/llama32_3b/generator.py,models.common.models.llama32_3b.generator,tt_transformers.models.llama32_3b.generator,c262fd4d5eb5b0e9803148ec183a1a33af957610,483,413
models,models/common/models/llama32_3b/hf_adaptor.py,models.common.models.llama32_3b.hf_adaptor,tt_transformers.models.llama32_3b.hf_adaptor,fdc00719cc6d98a362c43b0b8f21b07fc877b83a,293,258
models,models/common/models/llama32_3b/model.py,models.common.models.llama32_3b.model,tt_transformers.models.llama32_3b.model,b09216ff3914174114bfafe62962e6fae37af456,1130,1003
models,models/common/models/llama32_3b/weight_utils.py,models.common.models.llama32_3b.weight_utils,tt_transformers.models.llama32_3b.weight_utils,b6057db0504f8cb22cfe0496e91040d4cebe1446,178,146
models,models/common/models/llama33_70b/__init__.py,models.common.models.llama33_70b,tt_transformers.models.llama33_70b,a79f99b792f9a4b7a358f347b970b1dc2f30576c,56,54
models,models/common/models/llama33_70b/executor.py,models.common.models.llama33_70b.executor,tt_transformers.models.llama33_70b.executor,399b592486ccfc80624ff45d3a70e18c82cc9d8f,13,8
models,models/common/models/llama33_70b/generator.py,models.common.models.llama33_70b.generator,tt_transformers.models.llama33_70b.generator,f008838d7725e133d14f9e3f16ccd7f61f827be7,506,434
models,models/common/models/llama33_70b/hf_adaptor.py,models.common.models.llama33_70b.hf_adaptor,tt_transformers.models.llama33_70b.hf_adaptor,a7de941a9c8392290d1c8e90ca8d13963e063d09,348,306
models,models/common/models/llama33_70b/model.py,models.common.models.llama33_70b.model,tt_transformers.models.llama33_70b.model,d3407d05cdc44a2a8f1b43b14ef671be68c65832,1312,1173
models,models/common/models/llama33_70b/weight_utils.py,models.common.models.llama33_70b.weight_utils,tt_transformers.models.llama33_70b.weight_utils,b06738e0d091e603edc969c75dc1673dce03e9dc,178,146
models,models/common/models/llama3_8b/executor.py,models.common.models.llama3_8b.executor,tt_transformers.models.llama3_8b.executor,298b82dcffa3b7c1f9e9ca28922c71b75f1c1f3b,13,8
models,models/common/models/llama3_8b/generator.py,models.common.models.llama3_8b.generator,tt_transformers.models.llama3_8b.generator,45260304cee8d5040eba3a7dc9e832ed48b203f5,479,409
models,models/common/models/llama3_8b/hf_adaptor.py,models.common.models.llama3_8b.hf_adaptor,tt_transformers.models.llama3_8b.hf_adaptor,21e07203e8bcec0810a06614cb8e19d98e0a659f,554,465
models,models/common/models/llama3_8b/model.py,models.common.models.llama3_8b.model,tt_transformers.models.llama3_8b.model,126cd9c95d565ae51c31b5b6d1058cfe131d9e5a,1902,1714
models,models/common/models/llama3_executor.py,models.common.models.llama3_executor,tt_transformers.models.llama3_executor,9c84008b6b551a97ed2a156aa1d2a4d8994a457a,515,429
models,models/common/models/mistral_7b/__init__.py,models.common.models.mistral_7b,tt_transformers.models.mistral_7b,46d7229d41c08259862baf965f34f3ca05e3d313,44,42
models,models/common/models/mistral_7b/executor.py,models.common.models.mistral_7b.executor,tt_transformers.models.mistral_7b.executor,57cb9f6021494160a54b0b353a6f8cf3aaca76c1,613,548
models,models/common/models/mistral_7b/generator.py,models.common.models.mistral_7b.generator,tt_transformers.models.mistral_7b.generator,0baa7bd8601b087fa999eb5e45ffec992aef7464,481,411
models,models/common/models/mistral_7b/hf_adaptor.py,models.common.models.mistral_7b.hf_adaptor,tt_transformers.models.mistral_7b.hf_adaptor,f60375c6c940367ccb4ed4c27333b056570e1e61,347,309
models,models/common/models/mistral_7b/model.py,models.common.models.mistral_7b.model,tt_transformers.models.mistral_7b.model,52d430686868417fa8f82b42a0005bd2eb7b4529,944,852
models,models/common/models/mistral_7b/weight_utils.py,models.common.models.mistral_7b.weight_utils,tt_transformers.models.mistral_7b.weight_utils,86cbd7d16079849d7eec5b80ce8afe747d91e0bc,179,147
models,models/common/models/phi4/__init__.py,models.common.models.phi4,tt_transformers.models.phi4,332d63f4c12feb7966a02400397a12c269113a12,40,38
models,models/common/models/phi4/executor.py,models.common.models.phi4.executor,tt_transformers.models.phi4.executor,0a3c44928e7ac69cd3c7418b4acb88b432d8d975,613,548
models,models/common/models/phi4/generator.py,models.common.models.phi4.generator,tt_transformers.models.phi4.generator,06c0888afdb610d02496d3a2a365b25c3c2def67,481,411
models,models/common/models/phi4/hf_adaptor.py,models.common.models.phi4.hf_adaptor,tt_transformers.models.phi4.hf_adaptor,6b44e8fedaac339a646ce306567abeb797ff9e90,332,295
models,models/common/models/phi4/model.py,models.common.models.phi4.model,tt_transformers.models.phi4.model,4f7115b937a05fb0b2aaa0c537afd0a1d6a782b6,945,846
models,models/common/models/phi4/weight_utils.py,models.common.models.phi4.weight_utils,tt_transformers.models.phi4.weight_utils,898a832065b3608b48664dbb310ce7f5956553bb,218,180
models,models/common/models/qwen25_72b/__init__.py,models.common.models.qwen25_72b,tt_transformers.models.qwen25_72b,0ab695204a2a8d6d8f18e8ae6aa9f88bb2094aa2,41,39
models,models/common/models/qwen25_72b/executor.py,models.common.models.qwen25_72b.executor,tt_transformers.models.qwen25_72b.executor,9403bf17c2529dd3dc317ffa0d3b1e30c8cfba96,32,22
models,models/common/models/qwen25_72b/generator.py,models.common.models.qwen25_72b.generator,tt_transformers.models.qwen25_72b.generator,050b3e706fc742e5c69a5321e0fb759b8593aa76,362,314
models,models/common/models/qwen25_72b/hf_adaptor.py,models.common.models.qwen25_72b.hf_adaptor,tt_transformers.models.qwen25_72b.hf_adaptor,b1d6a9143511bb0b5685b356083facb3deb0b0e5,365,325
models,models/common/models/qwen25_72b/model.py,models.common.models.qwen25_72b.model,tt_transformers.models.qwen25_72b.model,88376931fb98218de91614f0b94cf3c9064ffc0a,1119,1008
models,models/common/models/qwen25_72b/weight_utils.py,models.common.models.qwen25_72b.weight_utils,tt_transformers.models.qwen25_72b.weight_utils,9bcc71a776e3245bb73640351600adad4669d140,217,180
models,models/common/models/qwen25_72b/weights.py,models.common.models.qwen25_72b.weights,tt_transformers.models.qwen25_72b.weights,22fe6666c2794395839ed8b863e4b0dd07f90162,13,9
models,models/common/models/qwen25_7b/__init__.py,models.common.models.qwen25_7b,tt_transformers.models.qwen25_7b,cd861b72109c2c1fb9ee60d593bc251e49e50425,29,27
models,models/common/models/qwen25_7b/executor.py,models.common.models.qwen25_7b.executor,tt_transformers.models.qwen25_7b.executor,d408feb37c317eff2b2f1d776b663a67112e2f7e,14,9
models,models/common/models/qwen25_7b/generator.py,models.common.models.qwen25_7b.generator,tt_transformers.models.qwen25_7b.generator,ace298acdb874d4afa87791f8ef97c3ea0cbbd8e,481,411
models,models/common/models/qwen25_7b/hf_adaptor.py,models.common.models.qwen25_7b.hf_adaptor,tt_transformers.models.qwen25_7b.hf_adaptor,f67ceaf876a104ec6beb7d507d1f421df1930979,316,281
models,models/common/models/qwen25_7b/model.py,models.common.models.qwen25_7b.model,tt_transformers.models.qwen25_7b.model,69784b1b708de38da2d57d489d625470faeb2dda,1155,1037
models,models/common/models/qwen25_7b/weight_utils.py,models.common.models.qwen25_7b.weight_utils,tt_transformers.models.qwen25_7b.weight_utils,62ecf0d9cfd14583e96e3b4e946caa3615693395,212,176
models,models/common/models/qwen25_coder_32b/__init__.py,models.common.models.qwen25_coder_32b,tt_transformers.models.qwen25_coder_32b,c951b892b9493e6655c86c1eca7cce3d6723e375,49,47
models,models/common/models/qwen25_coder_32b/demo.py,models.common.models.qwen25_coder_32b.demo,tt_transformers.models.qwen25_coder_32b.demo,2bb8240c112a6bff4098449ae343518566032fcd,594,519
models,models/common/models/qwen25_coder_32b/executor.py,models.common.models.qwen25_coder_32b.executor,tt_transformers.models.qwen25_coder_32b.executor,58204f805de46981714abedc43e14bcca35a1b42,92,74
models,models/common/models/qwen25_coder_32b/generator.py,models.common.models.qwen25_coder_32b.generator,tt_transformers.models.qwen25_coder_32b.generator,c8cba975ca91690eaca95ee91a4d3d724ed910a5,363,315
models,models/common/models/qwen25_coder_32b/hf_adaptor.py,models.common.models.qwen25_coder_32b.hf_adaptor,tt_transformers.models.qwen25_coder_32b.hf_adaptor,341d7c6fabe9b9bfa72eaf4f26a0cc2e5afdf123,369,329
models,models/common/models/qwen25_coder_32b/model.py,models.common.models.qwen25_coder_32b.model,tt_transformers.models.qwen25_coder_32b.model,67d7a78cb598a78b25659814d94227e422410b1b,1244,1124
models,models/common/models/qwen25_coder_32b/weight_utils.py,models.common.models.qwen25_coder_32b.weight_utils,tt_transformers.models.qwen25_coder_32b.weight_utils,342f13eaa1e96b4de5e41722655eadd5b4788383,214,178
models,models/common/models/qwen2_7b/__init__.py,models.common.models.qwen2_7b,tt_transformers.models.qwen2_7b,78dc51889282b317a56ab5d181145ed4aa7527c0,29,27
models,models/common/models/qwen2_7b/executor.py,models.common.models.qwen2_7b.executor,tt_transformers.models.qwen2_7b.executor,470d04590a60cf54e1e61aeeeda4b61a16d547fb,14,9
models,models/common/models/qwen2_7b/generator.py,models.common.models.qwen2_7b.generator,tt_transformers.models.qwen2_7b.generator,07d3ea4cb18d5a76d35ca0eb70aae52b50ffc308,481,411
models,models/common/models/qwen2_7b/hf_adaptor.py,models.common.models.qwen2_7b.hf_adaptor,tt_transformers.models.qwen2_7b.hf_adaptor,23646bac62a81e0b6f40ead008c84b8cda2a2dd3,316,281
models,models/common/models/qwen2_7b/model.py,models.common.models.qwen2_7b.model,tt_transformers.models.qwen2_7b.model,efd949a602147c1826def377bae60435cb15a604,1166,1047
models,models/common/models/qwen2_7b/weight_utils.py,models.common.models.qwen2_7b.weight_utils,tt_transformers.models.qwen2_7b.weight_utils,62ecf0d9cfd14583e96e3b4e946caa3615693395,212,176
models,models/common/models/qwen2_executor.py,models.common.models.qwen2_executor,tt_transformers.models.qwen2_executor,321d10bd5c1165eecac5ec30d9185d5e1b71321a,539,450
models,models/common/models/qwen3_32b/__init__.py,models.common.models.qwen3_32b,tt_transformers.models.qwen3_32b,bf778c5b575dab9a8bf2d964823dd3fbf00729f2,34,32
models,models/common/models/qwen3_32b/demo.py,models.common.models.qwen3_32b.demo,tt_transformers.models.qwen3_32b.demo,53a91f37b6dba40d9558216d7f253a38561bbef9,599,524
models,models/common/models/qwen3_32b/executor.py,models.common.models.qwen3_32b.executor,tt_transformers.models.qwen3_32b.executor,cb764125a871e85c515beca11850455df21f5cd4,348,285
models,models/common/models/qwen3_32b/generator.py,models.common.models.qwen3_32b.generator,tt_transformers.models.qwen3_32b.generator,45e353658ef6dd29fddaee92fbe95d9c48673735,365,317
models,models/common/models/qwen3_32b/hf_adaptor.py,models.common.models.qwen3_32b.hf_adaptor,tt_transformers.models.qwen3_32b.hf_adaptor,2b28398329500af2007b2f5fa678dc002d507528,308,268
models,models/common/models/qwen3_32b/model.py,models.common.models.qwen3_32b.model,tt_transformers.models.qwen3_32b.model,051f7099ebb2072a6f9f42bb8c9163dc1c497fe2,1334,1207
models,models/common/models/qwen3_32b/weight_utils.py,models.common.models.qwen3_32b.weight_utils,tt_transformers.models.qwen3_32b.weight_utils,d61e031632a41edd852624344c5d1c0ddc0ac748,264,221
modules,models/common/modules/attention/attention_1d.py,models.common.modules.attention.attention_1d,tt_transformers.modules.attention.attention_1d,0170f2cd382eb48267c26aa66f023b80648699a2,2541,2176
modules,models/common/modules/embedding/embedding_1d.py,models.common.modules.embedding.embedding_1d,tt_transformers.modules.embedding.embedding_1d,37940e756c1edc7e896a66289641bcdab44632db,284,219
modules,models/common/modules/lazy_buffer.py,models.common.modules.lazy_buffer,tt_transformers.modules.lazy_buffer,b01f4aec40973087ef4148e83edef5e68bd173d1,165,132
modules,models/common/modules/lazy_weight.py,models.common.modules.lazy_weight,tt_transformers.modules.lazy_weight,5bf526f7debedac8e8c5541441d73cdc6a20ffa1,350,283
modules,models/common/modules/lm_head/lm_head_1d.py,models.common.modules.lm_head.lm_head_1d,tt_transformers.modules.lm_head.lm_head_1d,235a584bd257eb2a67a9173b0d4f19555bf429c1,567,481
modules,models/common/modules/mlp/mlp_1d.py,models.common.modules.mlp.mlp_1d,tt_transformers.modules.mlp.mlp_1d,87570219df81d10f956e957dea1323fae867ba24,1194,1005
modules,models/common/modules/mlp/mlp_2d.py,models.common.modules.mlp.mlp_2d,tt_transformers.modules.mlp.mlp_2d,edc156730ff7bf918b2c0d56f4590f66218adba1,823,693
modules,models/common/modules/rmsnorm/rmsnorm_1d.py,models.common.modules.rmsnorm.rmsnorm_1d,tt_transformers.modules.rmsnorm.rmsnorm_1d,32e482f531dc50ad4e3210c70ac27ab0be7027a2,790,634
modules,models/common/modules/rmsnorm/rmsnorm_2d.py,models.common.modules.rmsnorm.rmsnorm_2d,tt_transformers.modules.rmsnorm.rmsnorm_2d,2079d7266b8027d1858b34195787302f11d65b4d,511,407
modules,models/common/modules/rope/rope_1d.py,models.common.modules.rope.rope_1d,tt_transformers.modules.rope.rope_1d,9384325d1876968081375229e6f13e66af385eeb,510,403
modules,models/common/modules/sampling/params.py,models.common.modules.sampling.params,tt_transformers.modules.sampling.params,f120ff1973fba8a8a643a56a2e4a2da3dd6ce35b,574,501
modules,models/common/modules/sampling/penalties_1d.py,models.common.modules.sampling.penalties_1d,tt_transformers.modules.sampling.penalties_1d,8d2e25560373d9f32305d2e0d6da68744b7bb285,717,601
modules,models/common/modules/sampling/sampling_1d.py,models.common.modules.sampling.sampling_1d,tt_transformers.modules.sampling.sampling_1d,6c4178d7a270d7fac6eeb26a81938afecc7ee903,886,758
modules,models/common/modules/sampling/sampling_state_1d.py,models.common.modules.sampling.sampling_state_1d,tt_transformers.modules.sampling.sampling_state_1d,cc9fc31d6045c2dc3973e8cdc6d318e36c320a48,927,843
modules,models/common/modules/sampling/seed_manager_1d.py,models.common.modules.sampling.seed_manager_1d,tt_transformers.modules.sampling.seed_manager_1d,ce5002a859711e127bdd2d9ac9a8f4bc925ffa32,637,541
modules,models/common/modules/tt_ccl.py,models.common.modules.tt_ccl,tt_transformers.modules.tt_ccl,6883e714a97d1badd3bb02f95ea33ef0f3cd002b,184,145
