layer,source_path,source_module,destination_module_candidate,git_blob_sha,lines,nonblank_lines
llm_runtime,models/common/llm_runtime/config.py,models.common.llm_runtime.config,tt_transformers.llm_runtime.config,34e767bf49743e4d1df23139121d31ad5e4aa0ae,152,119
llm_runtime,models/common/llm_runtime/decode.py,models.common.llm_runtime.decode,tt_transformers.llm_runtime.decode,8d1685b68ddb1c41bbf7c31df0259c22cd46e825,1329,1184
llm_runtime,models/common/llm_runtime/execution.py,models.common.llm_runtime.execution,tt_transformers.llm_runtime.execution,5be975228764c390d23d4b856a29cbf6bf3d5738,803,727
llm_runtime,models/common/llm_runtime/lane_group.py,models.common.llm_runtime.lane_group,tt_transformers.llm_runtime.lane_group,4cffe71d197231578ff5d2214bc3946ca6cd0c23,1086,971
llm_runtime,models/common/llm_runtime/output_reader.py,models.common.llm_runtime.output_reader,tt_transformers.llm_runtime.output_reader,2635a5b5117ecff139570624830ecf93c3e30df3,234,195
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,models.common.llm_runtime.paged_kv_cache,tt_transformers.llm_runtime.paged_kv_cache,ad4e774390d0ee09ee76f56133f070aca176870b,381,328
llm_runtime,models/common/llm_runtime/prefill/config.py,models.common.llm_runtime.prefill.config,tt_transformers.llm_runtime.prefill.config,ffe15b61d0446a0712cf6a744a4fa7a43f784027,269,242
llm_runtime,models/common/llm_runtime/prefill/inputs.py,models.common.llm_runtime.prefill.inputs,tt_transformers.llm_runtime.prefill.inputs,edf86ca70500bd543f5d6878ac72fee51f61170d,379,343
llm_runtime,models/common/llm_runtime/prefill/plan.py,models.common.llm_runtime.prefill.plan,tt_transformers.llm_runtime.prefill.plan,fa0c05779aae434f288ace93415cb2f3b71474cf,489,446
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,models.common.llm_runtime.prefill.postprocess,tt_transformers.llm_runtime.prefill.postprocess,c7ab39d4803fc0be6b13356094a32970aa80afb1,399,362
llm_runtime,models/common/llm_runtime/prefill/result_collector.py,models.common.llm_runtime.prefill.result_collector,tt_transformers.llm_runtime.prefill.result_collector,03df6a1828f4678ed43f2a0820ed38eb537c35fb,168,148
llm_runtime,models/common/llm_runtime/prefill/runtime.py,models.common.llm_runtime.prefill.runtime,tt_transformers.llm_runtime.prefill.runtime,1bd3b99ff81774af505e66cc8da8bca84d28d939,483,435
llm_runtime,models/common/llm_runtime/prefill/sampling_helpers.py,models.common.llm_runtime.prefill.sampling_helpers,tt_transformers.llm_runtime.prefill.sampling_helpers,7ecdb1c92baf703b59259df69d7bffd1cb6928f3,83,64
llm_runtime,models/common/llm_runtime/prefill/sequence_runner.py,models.common.llm_runtime.prefill.sequence_runner,tt_transformers.llm_runtime.prefill.sequence_runner,1f7523f79faaa9f18208cf3c035341fe444887ee,128,115
llm_runtime,models/common/llm_runtime/prefill/signatures.py,models.common.llm_runtime.prefill.signatures,tt_transformers.llm_runtime.prefill.signatures,6f5449e9a2dfeb9f45831e40dc12c1ec1d949a0b,206,179
llm_runtime,models/common/llm_runtime/prefill/trace.py,models.common.llm_runtime.prefill.trace,tt_transformers.llm_runtime.prefill.trace,499343b812a421953b163f4d995d6b3e96340b82,297,262
llm_runtime,models/common/llm_runtime/program_compiler.py,models.common.llm_runtime.program_compiler,tt_transformers.llm_runtime.program_compiler,3ac6ef89614f269861505fe2f5789273a108aa02,324,262
llm_runtime,models/common/llm_runtime/tensor_resources.py,models.common.llm_runtime.tensor_resources,tt_transformers.llm_runtime.tensor_resources,16d96d7b6e42d66951307947450181e46a3168dd,117,96
llm_runtime,models/common/llm_runtime/trace_compiler.py,models.common.llm_runtime.trace_compiler,tt_transformers.llm_runtime.trace_compiler,fb48777d15eef1595da21029a377b7b46cb361fd,490,413
llm_runtime,models/common/llm_runtime/vllm_adapter.py,models.common.llm_runtime.vllm_adapter,tt_transformers.llm_runtime.vllm_adapter,5ce2eafa479b73734766445971babac25d870845,393,334
llm_runtime,models/common/llm_runtime/warmup.py,models.common.llm_runtime.warmup,tt_transformers.llm_runtime.warmup,47b1792045c2152271fe0f74646948b04ef4c1c7,725,647
models,models/common/models/deepseek_r1_distill_qwen_14b/__init__.py,models.common.models.deepseek_r1_distill_qwen_14b,tt_transformers.models.deepseek_r1_distill_qwen_14b,b8a1e5472a85fbca682c39bcd64c02e369c10fc5,38,36
