policy_id,layer,source_path,source_line,source_qualname,source_kind,source_signature,source_export_status,destination_path,destination_qualname,destination_signature,policy_status,evidence,rationale,human_review,review_reason,signature_check
b77f72ddbaea81b641c8,llm_runtime,models/common/llm_runtime/config.py,13,TraceMode,constant_or_value," = Literal['none', 'decode_only', 'all']",candidate_no___all__,src/tt_transformers/llm_runtime/config.py,TraceMode," = Literal['none', 'decode_only', 'all']",supported_public,imported by 12 in-scope production site(s),Reusable module/runtime construction or protocol surface; preserve its module-qualified signature without adding a root eager export.,no,,exact
23546f14a0863e37f148,llm_runtime,models/common/llm_runtime/config.py,19,TraceConfig,class,(),candidate_no___all__,src/tt_transformers/llm_runtime/config.py,TraceConfig,(),supported_public,imported by 20 in-scope production site(s),Reusable module/runtime construction or protocol surface; preserve its module-qualified signature without adding a root eager export.,no,,exact
3837ec67d981c3c66e8c,llm_runtime,models/common/llm_runtime/config.py,29,TraceConfig.prefill_enabled,method,(self) -> bool,class_member,src/tt_transformers/llm_runtime/config.py,TraceConfig.prefill_enabled,(self) -> bool,supported_public,protocol member inherits supported_public policy from models/common/llm_runtime/config.py::TraceConfig,Reusable module/runtime construction or protocol surface; preserve its module-qualified signature without adding a root eager export.,no,,exact
5396e93f5d3b07a9377b,llm_runtime,models/common/llm_runtime/config.py,33,TraceConfig.decode_enabled,method,(self) -> bool,class_member,src/tt_transformers/llm_runtime/config.py,TraceConfig.decode_enabled,(self) -> bool,supported_public,protocol member inherits supported_public policy from models/common/llm_runtime/config.py::TraceConfig,Reusable module/runtime construction or protocol surface; preserve its module-qualified signature without adding a root eager export.,no,,exact
1dc495ccc60a470e5158,llm_runtime,models/common/llm_runtime/config.py,38,WarmupConfig,class,(),candidate_no___all__,src/tt_transformers/llm_runtime/config.py,WarmupConfig,(),supported_public,imported by 19 in-scope production site(s),Reusable module/runtime construction or protocol surface; preserve its module-qualified signature without adding a root eager export.,no,,exact
3197d6be6f756d2e8bfb,llm_runtime,models/common/llm_runtime/config.py,70,PagedKVCacheConfig,class,(),candidate_no___all__,src/tt_transformers/llm_runtime/config.py,PagedKVCacheConfig,(),supported_public,imported by 21 in-scope production site(s),Reusable module/runtime construction or protocol surface; preserve its module-qualified signature without adding a root eager export.,no,,exact
22154a8f3dc4dfcae440,llm_runtime,models/common/llm_runtime/config.py,94,PagedKVCacheConfig.is_resolved,method,(self) -> bool,class_member,src/tt_transformers/llm_runtime/config.py,PagedKVCacheConfig.is_resolved,(self) -> bool,supported_public,protocol member inherits supported_public policy from models/common/llm_runtime/config.py::PagedKVCacheConfig,Reusable module/runtime construction or protocol surface; preserve its module-qualified signature without adding a root eager export.,no,,exact
484e7823fa331129e735,llm_runtime,models/common/llm_runtime/config.py,99,PageTableLayout,class,(),candidate_no___all__,src/tt_transformers/llm_runtime/config.py,PageTableLayout,(),supported_public,imported by 8 in-scope production site(s),Reusable module/runtime construction or protocol surface; preserve its module-qualified signature without adding a root eager export.,no,,exact
f84ff0ad1a0af3020cde,llm_runtime,models/common/llm_runtime/config.py,108,PageTableLayout.resolve,method,"(cls, *, block_size: int, model_max_sequence_length: int, physical_num_blocks: int, max_prefill_chunk_size: int) -> 'PageTableLayout'",class_member,src/tt_transformers/llm_runtime/config.py,PageTableLayout.resolve,"(cls, *, block_size: int, model_max_sequence_length: int, physical_num_blocks: int, max_prefill_chunk_size: int) -> 'PageTableLayout'",supported_public,protocol member inherits supported_public policy from models/common/llm_runtime/config.py::PageTableLayout,Reusable module/runtime construction or protocol surface; preserve its module-qualified signature without adding a root eager export.,no,,exact
c872aeb8f56da1a0aa84,llm_runtime,models/common/llm_runtime/decode.py,38,DecodeProgramSignature,class,(),candidate_no___all__,src/tt_transformers/llm_runtime/decode.py,DecodeProgramSignature,(),private_by_policy,no explicit __all__ or cross-module production-import evidence,Public-looking source name lacks export/import evidence and is private by policy; access is incidental and carries no compatibility promise.,no,,exact
