tier,api,layer,source_path,line,scope,expression
experimental,ttnn.experimental.all_gather_async,models,models/common/models/qwen25_7b/model.py,277,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/qwen25_7b/model.py,1077,Qwen25_7B.gather_and_untilize_logits,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/qwen25_coder_32b/model.py,385,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/qwen25_coder_32b/model.py,1182,Qwen25Coder32B.gather_and_untilize_logits,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/qwen2_7b/model.py,277,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/qwen2_7b/model.py,1088,Qwen2_7B.gather_and_untilize_logits,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/qwen3_32b/model.py,362,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/qwen3_32b/model.py,1272,Qwen3_32B.gather_and_untilize_logits,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.minimal_matmul,modules,models/common/modules/attention/attention_1d.py,497,Attention1D.prefill_forward,ttnn.experimental.minimal_matmul
experimental,ttnn.experimental.nlp_create_qkv_heads,modules,models/common/modules/attention/attention_1d.py,536,Attention1D.prefill_forward,ttnn.experimental.nlp_create_qkv_heads
experimental,ttnn.experimental.rotary_embedding_llama,modules,models/common/modules/attention/attention_1d.py,557,Attention1D.prefill_forward,ttnn.experimental.rotary_embedding_llama
experimental,ttnn.experimental.rotary_embedding_llama,modules,models/common/modules/attention/attention_1d.py,565,Attention1D.prefill_forward,ttnn.experimental.rotary_embedding_llama
experimental,ttnn.experimental.nlp_concat_heads,modules,models/common/modules/attention/attention_1d.py,666,Attention1D.prefill_forward,ttnn.experimental.nlp_concat_heads
experimental,ttnn.experimental.minimal_matmul,modules,models/common/modules/attention/attention_1d.py,689,Attention1D.prefill_forward,ttnn.experimental.minimal_matmul
experimental,ttnn.experimental.nlp_create_qkv_heads_decode,modules,models/common/modules/attention/attention_1d.py,775,Attention1D.decode_forward,ttnn.experimental.nlp_create_qkv_heads_decode
experimental,ttnn.experimental.nlp_concat_heads_decode,modules,models/common/modules/attention/attention_1d.py,822,Attention1D.decode_forward,ttnn.experimental.nlp_concat_heads_decode
experimental,ttnn.experimental.paged_fill_cache,modules,models/common/modules/attention/attention_1d.py,976,Attention1D._kv_fill_prefill_paged,ttnn.experimental.paged_fill_cache
experimental,ttnn.experimental.paged_fill_cache,modules,models/common/modules/attention/attention_1d.py,977,Attention1D._kv_fill_prefill_paged,ttnn.experimental.paged_fill_cache
experimental,ttnn.experimental.paged_fill_cache,modules,models/common/modules/attention/attention_1d.py,990,Attention1D._kv_fill_prefill_paged,ttnn.experimental.paged_fill_cache
experimental,ttnn.experimental.paged_fill_cache,modules,models/common/modules/attention/attention_1d.py,991,Attention1D._kv_fill_prefill_paged,ttnn.experimental.paged_fill_cache
experimental,ttnn.experimental.paged_fill_cache,modules,models/common/modules/attention/attention_1d.py,1023,Attention1D._kv_fill_prefill_batched,ttnn.experimental.paged_fill_cache
experimental,ttnn.experimental.paged_fill_cache,modules,models/common/modules/attention/attention_1d.py,1024,Attention1D._kv_fill_prefill_batched,ttnn.experimental.paged_fill_cache
experimental,ttnn.experimental.all_gather_async,modules,models/common/modules/attention/attention_1d.py,1044,Attention1D._all_gather_before_wo_prefill_fused,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.rotary_embedding_llama_fused_qk,modules,models/common/modules/attention/attention_1d.py,1107,Attention1D._rotary_embed_decode_fused,ttnn.experimental.rotary_embedding_llama_fused_qk
experimental,ttnn.experimental.rotary_embedding_llama,modules,models/common/modules/attention/attention_1d.py,1116,Attention1D._rotary_embed_decode_nonfused,ttnn.experimental.rotary_embedding_llama
experimental,ttnn.experimental.rotary_embedding_llama,modules,models/common/modules/attention/attention_1d.py,1119,Attention1D._rotary_embed_decode_nonfused,ttnn.experimental.rotary_embedding_llama
experimental,ttnn.experimental.paged_fused_update_cache,modules,models/common/modules/attention/attention_1d.py,1138,Attention1D._kv_update_decode_fused,ttnn.experimental.paged_fused_update_cache
experimental,ttnn.experimental.paged_update_cache,modules,models/common/modules/attention/attention_1d.py,1152,Attention1D._kv_update_decode_nonfused,ttnn.experimental.paged_update_cache
experimental,ttnn.experimental.paged_update_cache,modules,models/common/modules/attention/attention_1d.py,1153,Attention1D._kv_update_decode_nonfused,ttnn.experimental.paged_update_cache
experimental,ttnn.experimental.reduce_scatter_minimal_async,modules,models/common/modules/attention/attention_1d.py,1240,Attention1D._all_reduce_output_decode,ttnn.experimental.reduce_scatter_minimal_async
experimental,ttnn.experimental.reduce_scatter_minimal_async,modules,models/common/modules/attention/attention_1d.py,1283,Attention1D._all_reduce_output_prefill,ttnn.experimental.reduce_scatter_minimal_async
experimental,ttnn.experimental.all_gather_matmul_async,modules,models/common/modules/attention/attention_1d.py,1307,Attention1D._fused_all_gather_wo_decode,ttnn.experimental.all_gather_matmul_async
private,ttnn._ttnn.tensor.dump_tensor_flatbuffer,modules,models/common/modules/lazy_weight.py,340,_from_torch_and_dump,ttnn._ttnn.tensor.dump_tensor_flatbuffer
experimental,ttnn.experimental.minimal_matmul,modules,models/common/modules/mlp/mlp_1d.py,376,MLP1D.prefill_forward,ttnn.experimental.minimal_matmul
experimental,ttnn.experimental.reduce_scatter_minimal_async,modules,models/common/modules/mlp/mlp_1d.py,426,MLP1D._all_reduce_decode,ttnn.experimental.reduce_scatter_minimal_async
experimental,ttnn.experimental.reduce_scatter_minimal_async,modules,models/common/modules/mlp/mlp_1d.py,460,MLP1D._all_reduce_prefill,ttnn.experimental.reduce_scatter_minimal_async
experimental,ttnn.experimental.reduce_scatter_minimal_async,modules,models/common/modules/mlp/mlp_2d.py,219,MLP2D._all_reduce_tg,ttnn.experimental.reduce_scatter_minimal_async
experimental,ttnn.experimental.all_gather_async,modules,models/common/modules/mlp/mlp_2d.py,235,MLP2D._all_reduce_tg,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.reduce_scatter_minimal_async,modules,models/common/modules/mlp/mlp_2d.py,260,MLP2D._reduce_scatter_axis1,ttnn.experimental.reduce_scatter_minimal_async
experimental,ttnn.experimental.all_gather_async,modules,models/common/modules/mlp/mlp_2d.py,280,MLP2D._all_gather_axis1,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,modules,models/common/modules/rmsnorm/rmsnorm_1d.py,290,RMSNorm1D._prefill_1d_distributed,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,modules,models/common/modules/rmsnorm/rmsnorm_2d.py,180,RMSNorm2D.decode_forward,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,modules,models/common/modules/rmsnorm/rmsnorm_2d.py,233,RMSNorm2D.prefill_forward,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,modules,models/common/modules/sampling/sampling_1d.py,360,Sampling1D._argmax_all_gather,ttnn.experimental.all_gather_async
