tier,api,layer,source_path,line,scope,expression
experimental,ttnn.experimental.all_gather_async,models,models/common/models/deepseek_r1_distill_qwen_14b/model.py,261,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/deepseek_r1_distill_qwen_14b/model.py,1026,DeepSeekR1Qwen14B.gather_and_untilize_logits,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/llama32_1b/model.py,229,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/llama32_1b/model.py,1100,Llama32_1BTransformer1D.gather_and_untilize_logits,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/llama32_3b/model.py,228,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/llama32_3b/model.py,1092,Llama32_3BTransformer1D.gather_and_untilize_logits,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/llama33_70b/model.py,267,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/llama33_70b/model.py,1274,Llama33_70BTransformer1D.gather_and_untilize_logits,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/llama3_8b/model.py,934,Llama3Transformer1D.gather_and_untilize_logits,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/llama3_8b/model.py,973,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/mistral_7b/model.py,224,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/mistral_7b/model.py,924,Mistral7B.gather_and_untilize_logits,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/phi4/model.py,240,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/phi4/model.py,928,Phi4Transformer.gather_and_untilize_logits,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/qwen25_72b/model.py,335,_all_gather_rmsnorm_tensor,ttnn.experimental.all_gather_async
experimental,ttnn.experimental.all_gather_async,models,models/common/models/qwen25_72b/model.py,1057,Qwen25_72B.gather_and_untilize_logits,ttnn.experimental.all_gather_async
