layer,source_path,line,qualname,kind,signature,decorators,export_status
llm_runtime,models/common/llm_runtime/config.py,13,TraceMode,constant_or_value," = Literal['none', 'decode_only', 'all']",,candidate_no___all__
llm_runtime,models/common/llm_runtime/config.py,19,TraceConfig,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/config.py,29,TraceConfig.prefill_enabled,method,(self) -> bool,property,class_member
llm_runtime,models/common/llm_runtime/config.py,33,TraceConfig.decode_enabled,method,(self) -> bool,property,class_member
llm_runtime,models/common/llm_runtime/config.py,38,WarmupConfig,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/config.py,70,PagedKVCacheConfig,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/config.py,94,PagedKVCacheConfig.is_resolved,method,(self) -> bool,,class_member
llm_runtime,models/common/llm_runtime/config.py,99,PageTableLayout,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/config.py,108,PageTableLayout.resolve,method,"(cls, *, block_size: int, model_max_sequence_length: int, physical_num_blocks: int, max_prefill_chunk_size: int) -> 'PageTableLayout'",classmethod,class_member
llm_runtime,models/common/llm_runtime/decode.py,38,DecodeProgramSignature,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,48,DecodeProgramSignature.key_material,method,"(self) -> tuple[tuple[str, Any], ...]",,class_member
llm_runtime,models/common/llm_runtime/decode.py,64,DecodeTraceSignature,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,74,DecodeTraceSignature.key_material,method,"(self) -> tuple[tuple[str, Any], ...]",,class_member
llm_runtime,models/common/llm_runtime/decode.py,90,DecodeHostInputs,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,96,DecodeHostInputs.values,method,"(self) -> tuple[Any, Any, Any, Any]",,class_member
llm_runtime,models/common/llm_runtime/decode.py,101,DecodeDeviceInputs,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,107,DecodeDeviceInputs.values,method,"(self) -> tuple[Any, Any, Any, Any]",,class_member
