layer,source_path,line,qualname,kind,signature,decorators,export_status
llm_runtime,models/common/llm_runtime/decode.py,110,DecodeDeviceInputs.owned_tensor_values,method,"(self) -> tuple[Any, Any, Any, Any]",,class_member
llm_runtime,models/common/llm_runtime/decode.py,115,PreparedDecode,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,129,PreparedDecode.sampling_values,method,(self),property,class_member
llm_runtime,models/common/llm_runtime/decode.py,143,PreparedDecode.sampling_seeds,method,(self),property,class_member
llm_runtime,models/common/llm_runtime/decode.py,148,InvocationResult,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,155,DecodeRefreshPolicy,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,164,DecodeCapturePlan,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,173,DecodePersistentInputs,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,179,DecodePersistentInputs.owned_tensor_values,method,"(self) -> tuple[Any, ...]",,class_member
llm_runtime,models/common/llm_runtime/decode.py,184,DecodeOutputLease,class,(),dataclass,candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,194,DecodeRuntimeConfig,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,219,DecodeRuntimeConfig.resolve,method,"(cls, *, model: Any, output_reader: OutputReader, lane_capacity: int, page_table_layout: PageTableLayout, device_sampling_enabled: bool, force_greedy_top_k: bool=False, sampling_state_controller: Any=None, sampling_state: Any=None) -> 'DecodeRuntimeConfig'",classmethod,class_member
llm_runtime,models/common/llm_runtime/decode.py,308,DecodeRuntimeConfig.with_page_table_layout,method,"(self, layout: PageTableLayout) -> 'DecodeRuntimeConfig'",,class_member
llm_runtime,models/common/llm_runtime/decode.py,321,DecodeRuntime,class,(),,candidate_no___all__
llm_runtime,models/common/llm_runtime/decode.py,341,DecodeRuntime.__init__,method,"(self, config: DecodeRuntimeConfig)",,class_member
llm_runtime,models/common/llm_runtime/decode.py,380,DecodeRuntime.transient_orphan_count,method,(self) -> int,property,class_member
llm_runtime,models/common/llm_runtime/decode.py,385,DecodeRuntime.configure_page_table_layout,method,"(self, layout: PageTableLayout) -> None",,class_member
llm_runtime,models/common/llm_runtime/decode.py,390,DecodeRuntime.prepare,method,"(self, tokens: torch.Tensor, start_pos: torch.Tensor, page_table: torch.Tensor, *, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None, reset_batch: bool=False) -> PreparedDecode",,class_member
llm_runtime,models/common/llm_runtime/decode.py,458,DecodeRuntime.program_signature,method,"(self, prepared: PreparedDecode) -> DecodeProgramSignature",,class_member
llm_runtime,models/common/llm_runtime/decode.py,464,DecodeRuntime.trace_signature,method,"(self, prepared: PreparedDecode) -> DecodeTraceSignature",,class_member
llm_runtime,models/common/llm_runtime/decode.py,478,DecodeRuntime.invoke,method,"(self, prepared: PreparedDecode, *, device_feedback: bool=False, count_tokens: bool=True) -> InvocationResult",,class_member
llm_runtime,models/common/llm_runtime/decode.py,539,DecodeRuntime.capture_plan,method,"(self, prepared: PreparedDecode) -> DecodeCapturePlan",,class_member
llm_runtime,models/common/llm_runtime/decode.py,573,DecodeRuntime.refresh_trace,method,"(self, artifact: Any, prepared: PreparedDecode, decision: Any) -> None",,class_member
llm_runtime,models/common/llm_runtime/decode.py,604,DecodeRuntime.note_submitted,method,"(self, prepared: PreparedDecode) -> None",,class_member
llm_runtime,models/common/llm_runtime/decode.py,609,DecodeRuntime.consume,method,"(self, result: InvocationResult, *, read_from_device: bool=True) -> Any",,class_member
llm_runtime,models/common/llm_runtime/decode.py,633,DecodeRuntime.read_decode_output,method,"(self, tt_out: Any, *, async_read: bool=False) -> Any",,class_member
llm_runtime,models/common/llm_runtime/decode.py,648,DecodeRuntime.process_decode_output_host,method,"(self, tt_out: Any, *, is_tokens: bool=False) -> tuple[Any, Any]",,class_member
llm_runtime,models/common/llm_runtime/decode.py,655,DecodeRuntime.drain_external_outputs,method,(self) -> None,,class_member
llm_runtime,models/common/llm_runtime/decode.py,669,DecodeRuntime.cleanup_transients,method,(self) -> None,,class_member
llm_runtime,models/common/llm_runtime/execution.py,24,TraceCoverageError,class,(RuntimeError),,candidate_no___all__
llm_runtime,models/common/llm_runtime/execution.py,29,PrefillReplayEvidence,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/execution.py,46,EagerExecutor,class,(),,candidate_no___all__
llm_runtime,models/common/llm_runtime/execution.py,56,EagerExecutor.__init__,method,"(self, *, prefill: PrefillRuntime, decode: DecodeRuntime, program_compiler: ProgramCompiler) -> None",,class_member
llm_runtime,models/common/llm_runtime/execution.py,71,EagerExecutor.eager_prefill_count,method,(self) -> int,property,class_member
llm_runtime,models/common/llm_runtime/execution.py,76,EagerExecutor.runtime_summary,method,"(self) -> dict[str, Any]",,class_member
llm_runtime,models/common/llm_runtime/execution.py,86,EagerExecutor.compile_prefill,method,"(self, *, tokens: torch.Tensor, page_table: torch.Tensor, prompt_lens: torch.Tensor | None=None, start_pos: torch.Tensor | None=None, empty_slots: Sequence[int] | None=None, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None) -> tuple[CompiledProgram, ...]",,class_member
llm_runtime,models/common/llm_runtime/execution.py,116,EagerExecutor.prefill_forward,method,"(self, *, tokens: torch.Tensor, page_table: torch.Tensor, prompt_lens: torch.Tensor | None=None, start_pos: torch.Tensor | None=None, empty_slots: Sequence[int] | None=None, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None)",,class_member
llm_runtime,models/common/llm_runtime/execution.py,149,EagerExecutor.compile_decode,method,"(self, *, tokens: torch.Tensor, start_pos: torch.Tensor, page_table: torch.Tensor, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None, reset_batch: bool=False) -> CompiledProgram",,class_member
llm_runtime,models/common/llm_runtime/execution.py,176,EagerExecutor.decode_forward,method,"(self, *, tokens: torch.Tensor, start_pos: torch.Tensor, page_table: torch.Tensor, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None, reset_batch: bool=False, read_from_device: bool=True)",,class_member
llm_runtime,models/common/llm_runtime/execution.py,311,TracedExecutor,class,(),,candidate_no___all__
llm_runtime,models/common/llm_runtime/execution.py,320,TracedExecutor.__init__,method,"(self, *, eager: EagerExecutor, trace_compiler: TraceCompiler, trace_mode: str='all') -> None",,class_member
llm_runtime,models/common/llm_runtime/execution.py,336,TracedExecutor.coverage_miss_count,method,(self) -> int,property,class_member
llm_runtime,models/common/llm_runtime/execution.py,342,TracedExecutor.recent_prefill_replay_evidence,method,"(self) -> tuple[PrefillReplayEvidence, ...]",property,class_member
llm_runtime,models/common/llm_runtime/execution.py,347,TracedExecutor.runtime_summary,method,"(self) -> dict[str, Any]",,class_member
llm_runtime,models/common/llm_runtime/execution.py,362,TracedExecutor.log_runtime_summary,method,"(self, *, phase: str | None=None) -> dict[str, Any]",,class_member
llm_runtime,models/common/llm_runtime/execution.py,373,TracedExecutor.compile_prefill,method,"(self, *, tokens: torch.Tensor, page_table: torch.Tensor, prompt_lens: torch.Tensor | None=None, start_pos: torch.Tensor | None=None, empty_slots: Sequence[int] | None=None, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None) -> tuple[CompiledProgram, ...]",,class_member
llm_runtime,models/common/llm_runtime/execution.py,403,TracedExecutor.prefill_forward,method,"(self, *, tokens: torch.Tensor, page_table: torch.Tensor, prompt_lens: torch.Tensor | None=None, start_pos: torch.Tensor | None=None, empty_slots: Sequence[int] | None=None, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None)",,class_member
llm_runtime,models/common/llm_runtime/execution.py,436,TracedExecutor.prepare_prefill,method,"(self, *, tokens: torch.Tensor, page_table: torch.Tensor, prompt_lens: torch.Tensor | None=None, start_pos: torch.Tensor | None=None, empty_slots: Sequence[int] | None=None, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None) -> tuple[Any, ...]",,class_member
llm_runtime,models/common/llm_runtime/execution.py,465,TracedExecutor.preflight_prefill,method,"(self, prepared: Sequence[Any]) -> tuple[tuple[Any, Any], ...]",,class_member
llm_runtime,models/common/llm_runtime/execution.py,473,TracedExecutor.execute_prepared_prefill,method,"(self, preflighted: Sequence[tuple[Any, Any]], *, batch_size: int, sampling_params: Any=None, lane: int=0)",,class_member
llm_runtime,models/common/llm_runtime/execution.py,499,TracedExecutor.compile_decode,method,"(self, *, tokens: torch.Tensor, start_pos: torch.Tensor, page_table: torch.Tensor, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None, reset_batch: bool=False) -> CompiledProgram",,class_member
llm_runtime,models/common/llm_runtime/execution.py,526,TracedExecutor.decode_forward,method,"(self, *, tokens: torch.Tensor, start_pos: torch.Tensor, page_table: torch.Tensor, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None, reset_batch: bool=False, read_from_device: bool=True)",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,47,LaneGroupExecutor,class,(),,candidate_no___all__
llm_runtime,models/common/llm_runtime/lane_group.py,59,LaneGroupExecutor.__init__,method,"(self, lanes: Sequence[Any], *, mesh_device: Any=None) -> None",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,105,LaneGroupExecutor.cache_path,method,(self) -> Any,property,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,109,LaneGroupExecutor.already_warmed_up_prefill,method,(self) -> bool,property,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,113,LaneGroupExecutor.already_warmed_up_prefill,method,"(self, value: bool) -> None",already_warmed_up_prefill.setter,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,118,LaneGroupExecutor.paged_kv_cache_config,method,"(self) -> tuple[Any, ...]",property,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,122,LaneGroupExecutor.terminal,method,(self) -> bool,property,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,125,LaneGroupExecutor.configure_paged_kv_cache,method,"(self, config: Any | Sequence[Any]) -> None",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,135,LaneGroupExecutor.allocate_kv_cache,method,"(self, kv_cache_shape: tuple[int, ...] | None=None, dtype: torch.dtype | None=None, num_layers: int | None=None) -> list[Any]",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,152,LaneGroupExecutor.compile_prefill,method,"(self, tokens: torch.Tensor, page_table: torch.Tensor, *, prompt_lens: torch.Tensor | None=None, start_pos: torch.Tensor | None=None, empty_slots: Sequence[int] | None=None, kv_cache: Any=None, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None, execution: Sequence[EagerExecutor | TracedExecutor] | None=None) -> None",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,186,LaneGroupExecutor.compile_decode,method,"(self, tokens: torch.Tensor, start_pos: torch.Tensor, page_table: torch.Tensor, *, kv_cache: Any=None, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None, reset_batch: bool=False, execution: Sequence[EagerExecutor | TracedExecutor] | None=None) -> None",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,217,LaneGroupExecutor.warmup_model_prefill,method,"(self, *, kv_cache: Any, can_sample_on_device: bool, enable_trace: bool) -> None",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,235,LaneGroupExecutor.warmup_model_decode,method,"(self, *, kv_cache: Any, max_batch_size: int, num_blocks: int, can_sample_on_device: bool, enable_trace: bool) -> None",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,257,LaneGroupExecutor.prefill_forward,method,"(self, tokens: torch.Tensor, page_table: torch.Tensor, *, prompt_lens: torch.Tensor | None=None, start_pos: torch.Tensor | None=None, empty_slots: Sequence[int] | None=None, kv_cache: Any=None, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None, execution: Sequence[EagerExecutor | TracedExecutor] | None=None) -> Any",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,309,LaneGroupExecutor.can_trace_prefill,method,"(self, *, tokens: torch.Tensor, prompt_lens: torch.Tensor | None=None, start_pos: torch.Tensor | None=None, empty_slots: Sequence[int] | None=None) -> bool",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,338,LaneGroupExecutor.decode_forward,method,"(self, tokens: torch.Tensor, start_pos: torch.Tensor, page_table: torch.Tensor, *, kv_cache: Any=None, sampling_params: Any=None, prompt_tokens: Any=None, output_tokens: Any=None, slot_remap: Any=None, reset_batch: bool=False, read_from_device: bool=True, execution: Sequence[EagerExecutor | TracedExecutor] | None=None) -> Any",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,381,LaneGroupExecutor.read_decode_output,method,"(self, tt_out: Any, *, async_read: bool=False) -> Any",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,410,LaneGroupExecutor.process_decode_output_host,method,"(self, tt_out: Any, *, is_tokens: bool=False) -> Any",,class_member
llm_runtime,models/common/llm_runtime/lane_group.py,423,LaneGroupExecutor.cleanup,method,(self) -> None,,class_member
llm_runtime,models/common/llm_runtime/output_reader.py,19,PendingRead,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/output_reader.py,29,OutputReader,class,(),,candidate_no___all__
llm_runtime,models/common/llm_runtime/output_reader.py,38,OutputReader.__init__,method,"(self, mesh_device: Any)",,class_member
llm_runtime,models/common/llm_runtime/output_reader.py,48,OutputReader.read,method,"(self, value: Any, *, blocking: bool=True) -> Any | PendingRead",,class_member
llm_runtime,models/common/llm_runtime/output_reader.py,58,OutputReader.submit,method,"(self, value: Any) -> PendingRead",,class_member
llm_runtime,models/common/llm_runtime/output_reader.py,65,OutputReader.read_synchronized,method,"(self, value: Any) -> Any",,class_member
llm_runtime,models/common/llm_runtime/output_reader.py,82,OutputReader.complete,method,"(self, pending_or_value: PendingRead | Any) -> Any",,class_member
llm_runtime,models/common/llm_runtime/output_reader.py,92,OutputReader.drain,method,(self) -> None,,class_member
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,19,PagedKVCacheContext,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,28,torch_dtype_for_ttnn,function,(dtype: ttnn.DataType) -> torch.dtype,,candidate_no___all__
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,47,PagedKVCacheManager,class,(),,candidate_no___all__
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,60,PagedKVCacheManager.__init__,method,"(self, model: Any, config: PagedKVCacheConfig)",,class_member
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,76,PagedKVCacheManager.config,method,(self) -> PagedKVCacheConfig,property,class_member
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,80,PagedKVCacheManager.bound_context,method,(self) -> PagedKVCacheContext | None,property,class_member
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,86,PagedKVCacheManager.per_layer_dtypes,method,"(self) -> tuple[ttnn.DataType, ...]",property,class_member
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,90,PagedKVCacheManager.cache_shapes,method,"(self) -> tuple[tuple[int, int, int, int], ...]",property,class_member
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,103,PagedKVCacheManager.configure,method,"(self, config: PagedKVCacheConfig) -> None",,class_member
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,123,PagedKVCacheManager.validate_vllm_cache_spec,method,"(self, *, block_size: int, dtype: torch.dtype, num_blocks: int | None=None) -> None",,class_member
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,159,PagedKVCacheManager.allocate,method,(self) -> list[list[Any]],,class_member
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,243,PagedKVCacheManager.validate_borrowed_handle,method,"(self, cache: Any) -> None",,class_member
llm_runtime,models/common/llm_runtime/paged_kv_cache.py,259,PagedKVCacheManager.release,method,(self) -> None,,class_member
llm_runtime,models/common/llm_runtime/prefill/config.py,19,PrefillRuntimeConfig,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/config.py,45,PrefillRuntimeConfig.resolve,method,"(cls, *, model: Any, output_reader: OutputReader, page_table_layout: PageTableLayout, max_batch_size: int, max_prefill_chunk_size: int, supports_batched_prefill: bool | None=None, disable_batched_prefill: bool=False, max_prefill_batch_size: int=8, batched_prefill_batched_extract: bool=True, device_sampling_enabled: bool, can_enable_trace: Callable[[int, int], bool], trace_capture_prime_sequence_lengths: tuple[int, ...]=(), sampling_state_controller: Any=None, sampling_state: Any=None) -> 'PrefillRuntimeConfig'",classmethod,class_member
llm_runtime,models/common/llm_runtime/prefill/config.py,226,PrefillRuntimeConfig.with_page_table_layout,method,"(self, layout: PageTableLayout) -> 'PrefillRuntimeConfig'",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,24,PrefillHostInputs,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/inputs.py,31,PrefillHostInputs.values,method,"(self) -> tuple[Any, ...]",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,42,PrefillDeviceInputs,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/inputs.py,51,PrefillDeviceInputs.model_values,method,"(self) -> tuple[Any, ...]",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,62,PrefillDeviceInputs.owned_tensor_values,method,"(self) -> tuple[Any, ...]",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,67,PrefillPositionInputs,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/inputs.py,72,PrefillPositionInputs.values,method,"(self) -> tuple[Any, ...]",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,75,PrefillPositionInputs.owned_tensor_values,method,"(self) -> tuple[Any, ...]",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,80,PrefillTraceInputs,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/inputs.py,92,PrefillInputStager,class,(),,candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/inputs.py,95,PrefillInputStager.__init__,method,"(self, *, model: Any, mesh_device: Any, release_transient: Callable[[Any], list[BaseException]]) -> None",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,106,PrefillInputStager.trace_inputs,method,"(self, request: PrefillRequest) -> PrefillTraceInputs",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,135,PrefillInputStager.stage_step,method,"(self, request: PrefillRequest, chunk: PrefillChunk, final_relative_last: int) -> tuple[PrefillDeviceInputs, PrefillPositionInputs]",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,165,PrefillInputStager.prepare_host_inputs,method,"(self, tokens: torch.Tensor, page_table: torch.Tensor, *, start_pos: int=0, chunk_page_table: torch.Tensor | None=None, chunk_start_idx: int | None=None, last_token_idx: int | None=None) -> PrefillHostInputs",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,237,PrefillInputStager.prepare_position_inputs_host,method,"(self, relative_last: int, sequence_length: int) -> PrefillPositionInputs",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,265,PrefillInputStager.stage_device_inputs,method,"(self, host_inputs: PrefillHostInputs) -> PrefillDeviceInputs",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,290,PrefillInputStager.refresh_regular_device_inputs,method,"(self, request: PrefillRequest, device_inputs: PrefillDeviceInputs) -> None",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,308,PrefillInputStager.refresh_chunk_device_inputs,method,"(self, request: PrefillRequest, chunk: PrefillChunk, device_inputs: PrefillDeviceInputs) -> None",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,334,PrefillInputStager.copy_rotary_inputs,method,"(self, device_inputs: PrefillDeviceInputs) -> None",,class_member
llm_runtime,models/common/llm_runtime/prefill/inputs.py,351,allocate_device_tensors,function,"(host_tensors: Sequence[Any], *, mesh_device: Any) -> list[Any]",,candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/inputs.py,365,copy_into_device_tensors,function,"(host_tensors: Sequence[Any], device_tensors: Sequence[Any]) -> Sequence[Any]",,candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/plan.py,18,PrefillKind,constant_or_value," = Literal['single', 'batched']",,candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/plan.py,22,PrefillChunk,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/plan.py,48,PrefillRequest,class,(),dataclass(frozen=True),candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/plan.py,98,PrefillRequest.page_table_width,method,(self) -> int,property,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,21,KPTSignature,constant_or_value," = tuple[tuple[int, ...], tuple[float, ...], tuple[float, ...]] | None",,candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,24,PrefillPostprocessor,class,(),,candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,27,PrefillPostprocessor.__init__,method,"(self, config: PrefillRuntimeConfig, *, allocate_device_tensors: Callable[[Any], Any], copy_into_device_tensors: Callable[[Any, Any], Any]) -> None",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,38,PrefillPostprocessor.configure,method,"(self, config: PrefillRuntimeConfig) -> None",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,41,PrefillPostprocessor.prepared_sampling,method,"(self, prepared: Any) -> PreparedSamplingParams | None",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,57,PrefillPostprocessor.validate_sampling_request,method,"(self, sampling_params: SamplingParams | None) -> None",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,61,PrefillPostprocessor.classify_sampling_path,method,"(self, request: PrefillRequest, sampling_params: PreparedSamplingParams | None) -> SamplingPath",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,72,PrefillPostprocessor.sampling_batch_size,method,"(self, request: PrefillRequest) -> int",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,77,PrefillPostprocessor.sampling_output_rows,method,"(self, prepared: PreparedPrefill) -> int",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,85,PrefillPostprocessor.uses_static_q128_topk,method,"(self, request: PrefillRequest, sampling_path: SamplingPath) -> bool",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,98,PrefillPostprocessor.make_device_kpt,method,"(self, sampling_params: PreparedSamplingParams | None, batch_size: int, force_topk: bool) -> tuple[Any, Any, Any] | None",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,109,PrefillPostprocessor.make_host_kpt,method,"(self, sampling_params: PreparedSamplingParams | None, batch_size: int, force_topk: bool) -> tuple[Any, Any, Any] | None",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,148,PrefillPostprocessor.kpt_values,method,"(sampling_params: PreparedSamplingParams, batch_size: int)",staticmethod,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,163,PrefillPostprocessor.refresh_kpt,method,"(self, device_kpt: tuple[Any, Any, Any] | None, sampling_params: PreparedSamplingParams | None, batch_size: int, force_topk: bool) -> None",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,176,PrefillPostprocessor.refresh_workspace_sampling,method,"(self, prepared: PreparedPrefill, *, kpt: tuple[Any, Any, Any] | None, kpt_signature: KPTSignature) -> KPTSignature",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,202,PrefillPostprocessor.make_sampling_output,method,"(self, batch_size: int) -> Any",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,212,PrefillPostprocessor.sample_device,method,"(self, logits: Any, kpt: tuple[Any, Any, Any] | None, sampling: PreparedSamplingParams, sampled_output: Any | None=None, *, count_tokens: bool=True) -> Any",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,248,PrefillPostprocessor.finish_regular_prefill,method,"(self, prepared: PreparedPrefill, hidden: Any, kpt: tuple[Any, Any, Any] | None, position_inputs: PrefillPositionInputs, *, sampled_output: Any | None=None, owned: list[Any] | None=None, count_tokens: bool=True) -> Any",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,316,PrefillPostprocessor.finish_prefill_sequence,method,"(self, prepared: PreparedPrefill, final_step_output: Any, kpt: tuple[Any, Any, Any] | None, position_inputs: PrefillPositionInputs, *, sampled_output: Any | None, owned: list[Any], count_tokens: bool=True) -> Any",,class_member
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,353,retain_owned,function,"(owned: list[Any] | None, value: Any) -> None",,candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,359,without_borrowed,function,"(values: Iterable[Any], borrowed: Iterable[Any]) -> tuple[Any, ...]",,candidate_no___all__
llm_runtime,models/common/llm_runtime/prefill/postprocess.py,378,new_logprob_output,function,"(output: Any, persistent_sampled_output: Any | None) -> Any | None",,candidate_no___all__
