source_path,source_blob_sha,source_git_mode,category,disposition,destination_path,destination_sha256,destination_mode,raw_blob_size,destination_size,exact_raw_copy,transformation,boundary_cleanup
models/common/models/deepseek_r1_distill_qwen_14b/README.md,2a7cb48dc5b11b92e1bf0401e1c58a53a385be71,100644,model_documentation,renamed,examples/deepseek_r1_distill_qwen_14b/README.md,06ea427dd9821717cde4c29750a2f43f75e1189a1e939da01cf7f1ea03ab7953,0644,3244,3244,true,content_preserving_path_move,false
models/common/tests/demos/deepseek_r1_distill_qwen_14b/__init__.py,e13459ada2877a67fad216d55a31379cb8db5e78,100644,example_support,renamed,examples/deepseek_r1_distill_qwen_14b/__init__.py,501d5b563ca412fa21db82bf39117b5480ecf99bcaf11996b9c3d5f1093bb9a8,0644,94,94,true,content_preserving_path_move,false
models/common/tests/demos/deepseek_r1_distill_qwen_14b/demo.py,e290555fc59afd3684de4275ccdeea728fac8c7f,100644,test_hybrid_demo,split,examples/deepseek_r1_distill_qwen_14b/demo.py,ba9e18e51545e034c2174144b49ddd3ae492f5f14b595de53266105da72f5246,0644,63158,63156,false,whole_pinned_snapshot;phase3_semantic_split_or_filter_deferred;mechanical_import_rewrites=12,true
models/common/models/llama32_1b/README.md,95ba7b7f0cdf6dadeb337c7c28a2b618933067c8,100644,model_documentation,renamed,examples/llama32_1b/README.md,fad99622f7076a8236c3ebe9686602f4e6e1a901f2ef41dd2f9113270a7b1497,0644,2003,2003,true,content_preserving_path_move,false
models/common/tests/demos/llama32_1b/__init__.py,3fb3dc325bc3a65cd541a59c08df3b2b437d6724,100644,example_support,renamed,examples/llama32_1b/__init__.py,cc2c73418c0211e5db739ce19e47b7c479f507d246e37239d90d0f469d73f1ef,0644,91,91,true,content_preserving_path_move,false
models/common/tests/demos/llama32_1b/demo.py,1b03e64cd311e252abd09e72e6a2a3418182e0a8,100644,test_hybrid_demo,split,examples/llama32_1b/demo.py,f69b82ff9fa22e46fad1bda07e1d81b84e05d3e440d252cf1ee857ee1e374e0a,0644,52822,52828,false,whole_pinned_snapshot;phase3_semantic_split_or_filter_deferred;mechanical_import_rewrites=11,true
models/common/models/llama32_3b/README.md,70e0ca570bf85fae396a7cb2d2e778b634dba62c,100644,model_documentation,renamed,examples/llama32_3b/README.md,9cdf2ea55aeefcf49afde996e42554ce8685ccce66975286028300b59b9b8064,0644,1857,1857,true,content_preserving_path_move,false
models/common/tests/demos/llama32_3b/__init__.py,3fb3dc325bc3a65cd541a59c08df3b2b437d6724,100644,example_support,renamed,examples/llama32_3b/__init__.py,cc2c73418c0211e5db739ce19e47b7c479f507d246e37239d90d0f469d73f1ef,0644,91,91,true,content_preserving_path_move,false
models/common/tests/demos/llama32_3b/demo.py,4d05b6998e2f7ec6c6a2ed1f8cea9b862dddc325,100644,test_hybrid_demo,split,examples/llama32_3b/demo.py,b0be2b12c132fdd50368910665e830d8177ea1f8a9a9b775773ba018599fde49,0644,53170,53176,false,whole_pinned_snapshot;phase3_semantic_split_or_filter_deferred;mechanical_import_rewrites=11,true
models/common/models/llama33_70b/README.md,2c72085b8529f5dcc219d43590ca39808030b229,100644,model_documentation,renamed,examples/llama33_70b/README.md,a47a2c36fd211c97fbe8b9f3aa3869f195dfd17306f085cd52487739182056e5,0644,2159,2159,true,content_preserving_path_move,false
models/common/tests/demos/llama33_70b/__init__.py,3fb3dc325bc3a65cd541a59c08df3b2b437d6724,100644,example_support,renamed,examples/llama33_70b/__init__.py,cc2c73418c0211e5db739ce19e47b7c479f507d246e37239d90d0f469d73f1ef,0644,91,91,true,content_preserving_path_move,false
models/common/tests/demos/llama33_70b/demo.py,cf019a10969bc523695508c4a02833e0dc1b6d46,100644,test_hybrid_demo,split,examples/llama33_70b/demo.py,af22130fbb32492629a208972a53046920405a5e275eabc23e8adeaf1d16cab7,0644,55255,55262,false,whole_pinned_snapshot;phase3_semantic_split_or_filter_deferred;mechanical_import_rewrites=12,true
