marker,registered_in_pytest_ini,description,source_test_definition_occurrences,files
post_commit,true,mark tests to run on post-commit,0,
requires_fast_runtime_mode_off,true,"mark tests which require fast runtime mode to be off: validation, logging, tracing",0,
requires_grid_size,true,"skip if device worker grid (compute_with_storage_grid_size) is smaller; pass (min_x, min_y) tuple or single int for min total cores",0,
requires_host_iommu,true,"mark tests that require a host-IOMMU runner, including realtime-profiler and 64-bit PCIe socket tests",0,
skip,false,,0,models/common/tests/modules/attention/test_attention_1d.py
skip_post_commit,true,mark tests excluded by default in profiler regression script (use -m / --include-skip-post-commit to include),0,
skipif,false,,0,conftest.py
slow,true,marks tests as slow and long,0,models/common/tests/modules/attention/test_attention_1d.py;models/common/tests/modules/embedding/test_embedding_1d.py;models/common/tests/modules/lm_head/test_lm_head_1d.py;models/common/tests/modules/mlp/test_mlp_1d.py;models/common/tests/modules/rmsnorm/test_rmsnorm_1d.py;models/common/tests/modules/rope/test_rope_1d.py;models/common/tests/modules/sampling/test_penalties_1d.py;models/common/tests/modules/sampling/test_sampling_1d.py
t3k_compat,true,mark tests that run on T3K (no Galaxy required) — excluded from Galaxy module test run,0,
timeout,true,per-test timeout in seconds (enforced by pytest-timeout when installed; registered here to silence unknown-mark warnings in envs without the plugin),2,models/common/tests/models/llama33_70b/test_p150x4_smoke.py;models/common/tests/models/qwen3_32b/test_p150x4_smoke.py
use_module_device,true,use module-scoped device fixture for faster test execution. Pass device_params as positional dict or keyword arg.,0,
usefixtures,false,,149,models/common/tests/demos/llama3_8b/demo.py;models/common/tests/modules/attention/test_attention_1d.py;models/common/tests/modules/embedding/test_embedding_1d.py;models/common/tests/modules/lm_head/test_lm_head_1d.py;models/common/tests/modules/mlp/test_mlp_1d.py;models/common/tests/modules/rmsnorm/test_rmsnorm_1d.py;models/common/tests/modules/rope/test_rope_1d.py;models/common/tests/modules/sampling/test_penalties_1d.py;models/common/tests/modules/sampling/test_sampling_1d.py
xfail,false,,2,models/common/tests/modules/mlp/test_mlp_2d.py
