marker,registered_in_pytest_ini,description,source_test_definition_occurrences,files
eager_host_side,true,mark tests meant for host-side eager release builds,0,
eager_package_silicon,true,mark silicon tests meant for eager release builds,0,
frequent,true,mark tests to run every couple of hours,0,
frequently_hangs,true,mark tests that frequently hang cards,0,
model_perf_t3000,true,mark model silicon tests for performance on t3000 bare metal,0,
model_perf_tg,true,mark model silicon tests for performance on tg bare metal,0,
models_device_performance_bare_metal,true,mark model silicon tests for device performance on bare metal,0,
models_performance_bare_metal,true,mark model silicon tests for performance on bare metal,0,
models_performance_virtual_machine,true,mark model silicon tests for performance on virtual_machine,0,
parametrize,false,,301,models/common/readiness_check/test_check_degenerate_output.py;models/common/readiness_check/test_generate.py;models/common/readiness_check/test_run_vllm_server.py;models/common/tests/demos/deepseek_r1_distill_qwen_14b/demo.py;models/common/tests/demos/llama32_1b/demo.py;models/common/tests/demos/llama32_3b/demo.py;models/common/tests/demos/llama33_70b/demo.py;models/common/tests/demos/llama3_8b/demo.py;models/common/tests/demos/mistral_7b/demo.py;models/common/tests/demos/phi4/demo.py;models/common/tests/demos/qwen25_72b/demo.py;models/common/tests/demos/qwen25_7b/demo.py;models/common/tests/demos/qwen25_coder_32b/demo.py;models/common/tests/demos/qwen2_7b/demo.py;models/common/tests/demos/qwen3_32b/demo.py;models/common/tests/demos/test_cleanup_utils.py;models/common/tests/demos/test_run_helpers.py;models/common/tests/llm_runtime/test_config.py;models/common/tests/llm_runtime/test_decode_runtime.py;models/common/tests/llm_runtime/test_executor_integration.py;models/common/tests/llm_runtime/test_lane_group.py;models/common/tests/llm_runtime/test_llama3_8b_integration.py;models/common/tests/llm_runtime/test_llama3_8b_model_contract.py;models/common/tests/llm_runtime/test_model_contract.py;models/common/tests/llm_runtime/test_model_executor.py;models/common/tests/llm_runtime/test_prefill_inputs.py;models/common/tests/llm_runtime/test_prefill_runtime.py;models/common/tests/llm_runtime/test_program_compiler.py;models/common/tests/llm_runtime/test_trace_compiler.py;models/common/tests/llm_runtime/test_vllm_adapter.py;models/common/tests/llm_runtime/test_warmup.py;models/common/tests/models/deepseek_r1_distill_qwen_14b/test_demo_contract.py;models/common/tests/models/llama32_1b/test_demo_warmup.py;models/common/tests/models/llama32_3b/test_demo_warmup.py;models/common/tests/models/llama32_3b/test_hf_adaptor.py;models/common/tests/models/llama33_70b/test_demo_contract.py;models/common/tests/models/llama33_70b/test_hf_adaptor.py;models/common/tests/models/llama33_70b/test_model_profile.py;models/common/tests/models/llama33_70b/test_p150x4_smoke.py;models/common/tests/models/llama33_70b/test_t3k_batched_prefill_correctness.py;models/common/tests/models/llama3_8b/test_demo_contract.py;models/common/tests/models/llama3_8b/test_model_profile.py;models/common/tests/models/mistral_7b/test_demo_contract.py;models/common/tests/models/phi4/test_demo_contract.py;models/common/tests/models/qwen25_72b/test_demo_contract.py;models/common/tests/models/qwen25_7b/test_demo_contract.py;models/common/tests/models/qwen25_coder_32b/test_demo_contract.py;models/common/tests/models/qwen2_7b/test_demo_contract.py;models/common/tests/models/qwen3_32b/test_demo_contract.py;models/common/tests/models/qwen3_32b/test_hf_adaptor.py;models/common/tests/models/qwen3_32b/test_model_runtime_surface.py;models/common/tests/models/qwen3_32b/test_module_profiles.py;models/common/tests/models/qwen3_32b/test_p150x4_smoke.py;models/common/tests/models/test_qwen2_executor_family.py;models/common/tests/modules/attention/profiling/test_attention_1d_profiling.py;models/common/tests/modules/attention/test_attention_1d.py;models/common/tests/modules/attention/test_attention_1d_arch_config.py;models/common/tests/modules/embedding/test_embedding_1d.py;models/common/tests/modules/lm_head/test_lm_head_1d.py;models/common/tests/modules/mlp/test_mlp_1d.py;models/common/tests/modules/mlp/test_mlp_1d_arch_config.py;models/common/tests/modules/mlp/test_mlp_2d.py;models/common/tests/modules/rmsnorm/test_rmsnorm_1d.py;models/common/tests/modules/rmsnorm/test_rmsnorm_2d.py;models/common/tests/modules/rope/test_rope_1d.py;models/common/tests/modules/sampling/test_params.py;models/common/tests/modules/sampling/test_penalties_1d.py;models/common/tests/modules/sampling/test_sampling_1d.py;models/common/tests/modules/sampling/test_sampling_state_1d.py;models/common/tests/modules/test_lazy_buffer.py;models/common/tests/modules/test_tensor_utils.py;models/common/tests/test_auto_compose.py;models/common/tests/test_distribute_as.py;models/common/tests/test_lazy_weight.py;models/common/tests/test_mesh_fixture_policy.py;models/common/tests/test_metrics.py;models/common/tests/test_sampling.py;models/common/tests/test_sampling_vocab_padding.py;models/common/tests/test_tt_sampling.py;models/common/tests/test_validation_tools.py
